Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales
2007.0,6.16,3.4,1.2,0.76
2014.0,4.23,3.37,3.08,0.65
1992.0,6.16,2.04,2.69,0.29
2008.0,6.76,3.1,0.14,1.03
1997.0,4.02,3.87,2.54,0.52
2011.0,4.89,2.99,2.13,0.78
2010.0,2.96,4.88,0.81,2.12
2009.0,4.99,3.69,0.38,1.63
2008.0,4.76,3.76,0.44,1.62
1993.0,5.99,2.15,2.12,0.29
2004.0,4.34,2.65,3.15,0.35
2004.0,5.08,3.11,1.25,0.98
2011.0,6.05,3.15,0.0,1.07
2013.0,6.72,2.63,0.04,0.82
2010.0,7.03,1.98,0.08,0.78
1996.0,5.55,1.94,2.23,0.15
2012.0,3.66,3.07,2.47,0.63
2012.0,6.63,2.36,0.04,0.73
1997.0,3.01,2.47,3.28,0.96
2013.0,4.09,3.73,0.38,1.38
2010.0,5.84,2.89,0.01,0.78
1999.0,3.88,3.42,1.69,0.5
2007.0,5.91,2.38,0.13,0.9
1994.0,4.36,1.71,3.0,0.23
2013.0,5.58,2.83,0.02,0.77
2012.0,2.01,2.32,4.36,0.41
2007.0,4.46,1.88,1.98,0.7
2011.0,5.03,2.86,0.1,0.85
1992.0,3.54,1.24,3.81,0.18
2015.0,1.11,6.06,0.06,1.26
2010.0,1.79,3.53,2.49,0.68
2004.0,6.82,1.53,0.05,0.08
2007.0,3.81,2.3,1.58,0.73
2012.0,2.91,1.86,3.14,0.43
2012.0,1.06,5.05,0.13,2.01
2009.0,0.98,6.42,0.0,0.71
1997.0,5.8,2.01,0.13,0.15
2007.0,2.58,3.9,0.66,0.91
2001.0,2.91,2.07,2.73,0.33
1999.0,2.28,1.72,3.63,0.23
2008.0,2.82,1.78,2.69,0.55
1982.0,7.28,0.45,0.0,0.08
2005.0,2.9,2.83,0.24,1.75
2010.0,3.66,2.42,0.98,0.64
2015.0,2.93,3.29,0.22,1.23
2014.0,2.8,3.3,0.14,1.37
1998.0,4.1,1.89,1.45,0.16
1997.0,3.78,2.17,1.31,0.31
1988.0,5.39,1.18,0.7,0.19
2014.0,3.24,1.35,2.42,0.43
2008.0,4.79,1.9,0.0,0.69
2011.0,4.46,2.13,0.06,0.69
2006.0,3.83,2.19,0.6,0.7
2015.0,4.52,2.09,0.01,0.67
2009.0,3.51,3.03,0.0,0.73
2011.0,2.85,2.93,0.35,1.1
2003.0,3.27,2.83,0.08,1.02
1998.0,3.27,2.22,1.4,0.29
1998.0,3.68,1.75,1.42,0.28
2001.0,4.41,1.04,1.39,0.22
2014.0,3.13,2.07,1.27,0.49
2015.0,2.47,3.15,0.24,1.1
2003.0,4.12,1.77,0.87,0.19
2012.0,4.14,2.21,0.0,0.56
2013.0,0.78,4.32,0.07,1.73
2004.0,2.71,3.02,0.08,1.09
2002.0,2.93,2.75,0.17,0.99
2011.0,2.77,2.8,0.19,1.06
1996.0,3.23,2.35,0.94,0.3
2010.0,3.5,2.64,0.0,0.67
2008.0,4.15,1.92,0.06,0.64
2009.0,3.27,2.25,0.21,1.0
2007.0,3.1,2.3,0.28,1.04
2011.0,0.84,4.32,0.11,1.42
2005.0,1.67,2.78,1.6,0.62
2010.0,2.79,2.61,0.17,1.03
2014.0,0.79,4.29,0.05,1.47
2010.0,3.25,1.84,1.03,0.47
2011.0,2.55,2.71,0.25,1.05
1986.0,3.74,0.93,1.69,0.14
2012.0,2.64,2.56,0.16,1.14
2001.0,4.98,1.3,0.08,0.07
2004.0,2.57,1.58,2.06,0.21
2002.0,3.64,1.2,1.49,0.07
2000.0,2.55,1.56,1.29,0.99
2009.0,4.34,1.35,0.06,0.61
2010.0,3.7,1.97,0.09,0.57
2002.0,4.01,1.26,0.87,0.17
1992.0,2.47,0.83,2.87,0.12
2004.0,0.07,6.21,0.0,0.0
1999.0,3.11,2.8,0.02,0.33
2010.0,3.92,1.78,0.03,0.51
2011.0,4.05,1.62,0.07,0.49
2006.0,3.54,1.9,0.07,0.6
2001.0,2.45,2.01,0.87,0.72
1992.0,4.47,1.2,0.16,0.19
2008.0,2.63,1.74,0.83,0.83
1998.0,3.18,1.83,0.78,0.24
2013.0,2.41,2.28,0.28,1.01
2006.0,1.88,0.0,2.33,1.74
2008.0,2.8,2.05,0.17,0.9
2009.0,0.66,0.69,4.35,0.15
2007.0,3.66,1.63,0.0,0.53
1998.0,1.88,1.47,2.02,0.45
1996.0,2.26,1.89,1.36,0.23
2006.0,3.13,1.94,0.07,0.58
2014.0,2.49,2.05,0.16,0.96
1988.0,2.97,0.69,1.81,0.11
2009.0,2.54,1.95,0.21,0.87
1999.0,2.95,0.6,1.97,0.04
2007.0,3.28,1.65,0.07,0.55
2011.0,2.7,1.91,0.11,0.8
2009.0,2.99,1.92,0.1,0.51
2008.0,0.47,0.57,4.13,0.34
2001.0,3.14,1.24,0.91,0.2
2001.0,2.62,1.64,0.99,0.23
2001.0,3.21,1.11,0.95,0.2
1999.0,3.18,1.24,0.94,0.09
2008.0,2.72,1.87,0.0,0.84
2001.0,2.07,2.29,0.24,0.82
2014.0,1.97,2.51,0.0,0.94
2009.0,1.74,1.24,1.87,0.52
1989.0,2.18,0.96,2.0,0.2
1999.0,3.02,1.12,1.01,0.16
2012.0,3.13,1.71,0.03,0.44
2000.0,1.62,0.77,2.78,0.14
2003.0,1.92,1.08,2.11,0.17
1999.0,3.33,0.79,1.09,0.06
2009.0,3.1,1.56,0.08,0.51
2007.0,1.22,2.48,1.03,0.52
1997.0,2.3,2.46,0.2,0.28
,4.26,0.26,0.01,0.71
2004.0,0.65,0.75,3.61,0.2
2012.0,2.43,2.15,0.0,0.62
2003.0,2.93,1.25,0.83,0.2
2012.0,2.32,1.3,1.27,0.31
1994.0,2.49,0.98,1.57,0.15
2012.0,1.08,3.48,0.03,0.58
2007.0,1.9,1.83,0.95,0.49
1995.0,2.1,0.74,2.2,0.11
2013.0,0.96,2.02,1.89,0.28
2008.0,1.64,2.48,0.44,0.58
2003.0,1.98,2.23,0.13,0.8
1992.0,2.71,0.61,1.7,0.11
2010.0,3.59,1.11,0.05,0.38
2014.0,3.21,1.53,0.01,0.38
1996.0,3.22,1.69,0.0,0.2
2006.0,3.81,0.63,0.0,0.68
2009.0,1.96,1.43,1.08,0.65
2014.0,2.66,2.01,0.0,0.41
2006.0,1.7,2.02,0.16,1.21
2010.0,0.6,3.29,0.06,1.13
1999.0,3.4,1.3,0.15,0.22
1996.0,2.05,1.16,1.11,0.73
1999.0,3.42,1.38,0.02,0.2
2014.0,2.59,1.06,0.8,0.57
1999.0,2.79,1.89,0.0,0.33
1998.0,3.36,1.36,0.07,0.21
2007.0,3.06,1.18,0.29,0.46
2007.0,3.49,0.01,0.01,1.48
2008.0,3.39,1.03,0.09,0.44
2007.0,1.85,1.2,1.54,0.37
2007.0,2.31,1.73,0.12,0.78
2005.0,3.98,0.26,0.01,0.66
2007.0,2.89,1.54,0.0,0.46
1997.0,2.91,0.99,0.89,0.1
2010.0,0.0,0.0,4.87,0.0
1990.0,2.62,0.6,1.52,0.1
2010.0,2.74,1.36,0.12,0.63
2010.0,2.56,1.68,0.0,0.59
2007.0,1.91,2.0,0.09,0.83
2014.0,0.57,3.14,0.04,1.07
1999.0,2.57,1.57,0.44,0.21
2016.0,0.28,3.75,0.06,0.69
2011.0,2.99,1.31,0.04,0.41
2000.0,2.36,2.1,0.02,0.25
2003.0,1.73,2.19,0.0,0.79
2000.0,3.05,1.41,0.02,0.2
2008.0,1.87,1.12,1.32,0.37
2002.0,1.94,1.95,0.08,0.7
2011.0,2.08,2.04,0.06,0.47
1996.0,2.29,1.97,0.13,0.24
2007.0,3.06,1.12,0.0,0.44
1991.0,2.42,0.91,1.15,0.13
2002.0,2.6,0.99,0.89,0.13
2009.0,1.89,1.99,0.22,0.48
2013.0,1.78,1.39,1.1,0.3
2015.0,1.55,1.15,1.44,0.43
2014.0,1.78,1.87,0.07,0.82
2007.0,3.19,0.92,0.01,0.42
2004.0,4.18,0.26,0.01,0.08
1981.0,4.21,0.24,0.0,0.05
2006.0,3.63,0.24,0.01,0.61
2002.0,2.71,1.51,0.03,0.23
2000.0,0.2,0.14,4.1,0.02
2015.0,1.96,1.69,0.08,0.74
2014.0,1.54,1.94,0.19,0.77
2005.0,2.71,1.29,0.02,0.43
2012.0,2.55,1.11,0.46,0.33
2010.0,2.67,1.35,0.01,0.39
2001.0,2.66,1.29,0.01,0.46
2006.0,0.1,2.39,1.05,0.86
2006.0,2.82,1.05,0.13,0.4
1987.0,2.19,0.5,1.61,0.08
2005.0,2.03,1.79,0.08,0.47
2006.0,1.73,1.73,0.14,0.75
1991.0,3.03,0.91,0.26,0.13
2005.0,2.2,0.58,1.38,0.17
2013.0,0.92,2.93,0.01,0.46
2014.0,2.75,1.18,0.0,0.37
1980.0,4.0,0.26,0.0,0.05
2008.0,2.51,1.27,0.11,0.41
2015.0,2.64,1.2,0.03,0.39
2013.0,2.11,1.11,0.72,0.3
2009.0,2.23,1.34,0.07,0.61
2011.0,1.41,2.02,0.1,0.72
2001.0,3.0,1.11,0.05,0.07
2004.0,1.46,0.0,0.83,1.93
2006.0,2.45,1.02,0.0,0.75
1995.0,1.7,2.27,0.0,0.23
2011.0,2.03,1.27,0.62,0.3
2005.0,0.78,2.55,0.04,0.84
2003.0,0.88,2.3,0.2,0.83
2016.0,1.3,2.07,0.18,0.65
2007.0,1.28,1.83,0.57,0.53
2011.0,2.25,1.47,0.04,0.43
2009.0,2.02,1.06,0.58,0.53
2011.0,0.84,2.79,0.02,0.53
1989.0,3.38,0.44,0.31,0.04
1984.0,2.04,0.48,1.57,0.07
1997.0,3.79,0.27,0.0,0.11
2002.0,3.36,0.21,0.01,0.56
2014.0,1.4,1.86,0.11,0.77
1997.0,4.03,0.0,0.09,0.0
1995.0,1.65,0.61,1.76,0.09
2006.0,0.71,2.48,0.03,0.89
2011.0,2.14,1.2,0.37,0.4
1992.0,1.42,0.51,2.1,0.07
2007.0,2.13,1.5,0.05,0.42
2015.0,2.45,1.26,0.01,0.37
2007.0,2.57,1.52,0.0,0.0
2010.0,2.65,1.06,0.04,0.33
2007.0,2.32,0.04,0.04,1.67
2007.0,2.35,1.28,0.03,0.41
2005.0,0.12,2.26,0.9,0.77
1996.0,2.28,1.55,0.16,0.06
2000.0,1.68,1.51,0.51,0.35
2014.0,1.12,2.12,0.1,0.69
1997.0,2.78,0.58,0.64,0.04
2014.0,1.38,1.87,0.12,0.65
1984.0,1.22,0.28,2.46,0.04
2008.0,2.15,1.2,0.07,0.59
2007.0,0.92,1.78,0.92,0.37
2009.0,2.67,0.89,0.05,0.37
2005.0,2.08,1.35,0.0,0.54
2009.0,2.1,1.36,0.06,0.4
2014.0,1.18,1.96,0.08,0.7
1994.0,1.97,0.76,1.07,0.11
2003.0,2.29,1.17,0.01,0.42
2013.0,1.33,1.71,0.13,0.73
2014.0,0.67,0.49,2.62,0.11
2006.0,1.53,1.61,0.06,0.67
2011.0,1.15,2.09,0.0,0.64
2005.0,0.93,1.94,0.31,0.7
1988.0,0.1,0.0,3.77,0.0
2010.0,2.12,1.14,0.1,0.51
2015.0,2.48,0.65,0.03,0.69
2004.0,0.16,1.89,1.12,0.68
2007.0,0.87,1.57,1.05,0.35
1995.0,2.12,1.44,0.22,0.06
1992.0,2.21,0.96,0.54,0.13
2009.0,2.26,0.48,0.81,0.27
2007.0,1.06,1.93,0.41,0.43
2011.0,1.44,1.37,0.73,0.27
2015.0,1.49,1.58,0.1,0.61
2011.0,1.14,1.91,0.27,0.46
2008.0,2.4,1.03,0.0,0.36
1996.0,1.82,1.24,0.47,0.25
2007.0,1.4,1.4,0.1,0.87
2013.0,1.98,1.47,0.0,0.32
2002.0,2.03,1.56,0.0,0.17
2007.0,1.98,0.88,0.59,0.32
2001.0,1.37,2.0,0.14,0.22
2015.0,0.96,2.0,0.21,0.56
1999.0,1.3,0.77,1.54,0.11
2000.0,1.93,1.58,0.0,0.19
2004.0,0.58,2.48,0.04,0.59
1998.0,1.49,0.73,1.38,0.1
2013.0,1.3,1.51,0.27,0.61
2007.0,1.59,1.61,0.08,0.41
2009.0,0.0,0.0,3.67,0.0
2002.0,2.13,1.18,0.01,0.35
2005.0,1.65,1.22,0.0,0.79
1998.0,1.87,1.13,0.55,0.1
2002.0,2.53,0.81,0.06,0.24
2008.0,2.33,0.97,0.0,0.35
2013.0,0.71,1.8,0.4,0.74
2001.0,2.08,1.09,0.15,0.33
1999.0,2.23,0.68,0.66,0.06
2009.0,0.6,2.46,0.05,0.52
2007.0,0.05,0.0,0.64,2.93
2013.0,1.78,1.42,0.05,0.38
2005.0,2.08,0.83,0.46,0.25
2016.0,1.28,1.61,0.15,0.57
2004.0,1.93,1.22,0.03,0.44
1994.0,2.05,1.4,0.0,0.16
2001.0,2.02,1.17,0.0,0.42
2007.0,1.61,1.5,0.1,0.39
2001.0,2.38,0.67,0.46,0.1
2005.0,2.18,1.02,0.03,0.37
2000.0,2.01,1.35,0.06,0.16
1997.0,1.57,1.79,0.0,0.2
2006.0,1.56,1.4,0.07,0.5
2002.0,1.23,1.77,0.05,0.49
1997.0,1.66,1.58,0.12,0.18
2001.0,1.9,1.13,0.1,0.41
2005.0,1.98,1.14,0.01,0.41
2013.0,2.14,1.08,0.02,0.29
2010.0,0.71,2.4,0.02,0.4
2000.0,1.96,1.33,0.0,0.23
1999.0,2.14,1.21,0.01,0.17
2008.0,2.66,0.5,0.05,0.3
2009.0,1.22,1.66,0.27,0.38
2009.0,2.11,0.94,0.12,0.34
1996.0,1.17,0.5,1.75,0.08
2010.0,2.84,0.39,0.03,0.24
1985.0,1.64,0.38,1.42,0.06
2009.0,2.2,0.97,0.02,0.31
2006.0,0.59,1.83,0.73,0.35
,0.59,2.36,0.04,0.51
2015.0,1.94,1.22,0.02,0.31
2010.0,2.09,1.02,0.04,0.32
2008.0,2.11,1.01,0.01,0.35
2014.0,2.26,0.89,0.0,0.3
2012.0,0.88,1.75,0.1,0.72
2013.0,0.0,0.0,3.44,0.0
2009.0,2.39,0.73,0.03,0.29
2002.0,1.55,1.27,0.33,0.29
2013.0,1.34,1.54,0.17,0.38
2011.0,1.82,1.07,0.06,0.47
1998.0,1.13,2.07,0.0,0.22
1994.0,0.86,0.0,2.55,0.02
2004.0,1.75,1.2,0.02,0.43
1990.0,1.73,0.69,0.59,0.4
2002.0,0.46,2.28,0.05,0.61
2000.0,1.56,1.47,0.19,0.17
2008.0,2.03,1.03,0.0,0.32
2015.0,1.08,1.35,0.48,0.47
2009.0,1.43,0.94,0.74,0.27
1998.0,2.47,0.76,0.0,0.13
2000.0,1.9,0.67,0.73,0.06
2008.0,0.65,1.61,0.82,0.28
1998.0,1.63,1.53,0.0,0.18
2013.0,1.9,1.14,0.01,0.29
2006.0,0.0,0.99,2.32,0.02
2002.0,1.45,1.29,0.12,0.46
2002.0,1.44,1.01,0.57,0.3
2012.0,1.15,1.17,0.76,0.24
2005.0,1.47,1.39,0.03,0.43
2001.0,1.99,1.05,0.05,0.22
2003.0,1.5,1.28,0.05,0.46
2015.0,0.8,1.92,0.06,0.5
2014.0,2.13,0.92,0.0,0.23
2003.0,1.89,1.05,0.02,0.31
2008.0,1.36,1.13,0.46,0.32
2009.0,0.5,1.59,0.31,0.87
2015.0,0.25,0.19,2.78,0.04
1995.0,0.95,1.3,0.77,0.22
2015.0,0.88,2.11,0.0,0.23
2011.0,1.27,1.33,0.12,0.51
2015.0,2.33,0.3,0.0,0.59
2014.0,0.03,0.0,3.18,0.0
1999.0,1.72,1.33,0.0,0.16
1983.0,0.73,0.1,2.35,0.02
1995.0,2.26,0.72,0.12,0.1
2000.0,1.76,1.21,0.07,0.16
2007.0,1.35,0.6,0.8,0.44
2008.0,1.48,1.01,0.04,0.66
1995.0,0.0,0.0,3.19,0.0
2010.0,2.15,0.77,0.01,0.26
2003.0,1.78,1.12,0.09,0.19
2015.0,1.18,0.87,0.93,0.2
2010.0,1.52,1.08,0.1,0.47
,1.86,1.02,0.0,0.29
2008.0,0.58,0.51,1.93,0.14
2001.0,2.06,0.56,0.38,0.17
2008.0,1.88,0.98,0.0,0.3
2001.0,1.92,0.16,0.99,0.09
2008.0,1.79,1.06,0.0,0.29
2005.0,1.22,1.57,0.06,0.29
2012.0,0.88,0.97,0.88,0.42
2014.0,1.89,0.99,0.03,0.24
2007.0,0.68,0.0,0.0,2.46
2000.0,1.7,1.25,0.02,0.16
1998.0,2.14,0.86,0.0,0.13
1999.0,2.31,0.62,0.14,0.04
2006.0,0.91,1.0,1.03,0.17
2007.0,1.69,0.87,0.14,0.42
1990.0,0.08,0.0,3.03,0.01
2010.0,1.29,1.27,0.06,0.5
2010.0,1.99,0.82,0.03,0.27
2014.0,0.78,2.02,0.0,0.3
2002.0,2.17,0.28,0.55,0.08
2001.0,2.5,0.16,0.01,0.42
1986.0,1.92,0.45,0.64,0.07
2012.0,1.89,0.91,0.04,0.24
2013.0,1.4,0.99,0.46,0.22
1994.0,1.57,0.62,0.55,0.34
2002.0,1.72,1.21,0.0,0.14
2012.0,1.94,0.86,0.03,0.24
2008.0,1.91,0.84,0.0,0.29
2012.0,1.38,1.35,0.02,0.28
2010.0,2.06,0.64,0.12,0.22
2008.0,1.94,0.8,0.02,0.27
1995.0,1.54,1.33,0.0,0.16
2009.0,1.4,1.07,0.08,0.47
2002.0,1.85,1.04,0.0,0.13
1987.0,2.03,0.47,0.45,0.07
2002.0,1.45,1.13,0.07,0.38
2015.0,2.38,0.32,0.0,0.31
2012.0,2.6,0.21,0.01,0.19
2007.0,1.15,0.0,0.76,1.09
,1.57,1.02,0.0,0.41
2014.0,1.01,1.41,0.05,0.53
1993.0,1.61,0.51,0.8,0.07
2000.0,1.67,1.18,0.0,0.13
2002.0,0.12,1.26,1.16,0.45
2001.0,1.36,0.86,0.64,0.13
2015.0,0.47,1.0,1.39,0.12
2010.0,1.33,1.12,0.08,0.45
2014.0,0.96,1.72,0.0,0.29
2011.0,1.58,1.01,0.0,0.38
2003.0,1.04,1.37,0.06,0.49
2008.0,1.57,0.04,1.19,0.15
2002.0,1.36,1.15,0.04,0.41
2009.0,1.82,0.71,0.15,0.26
1996.0,1.98,0.58,0.34,0.04
2003.0,2.22,0.51,0.06,0.15
2005.0,1.45,1.11,0.04,0.33
2009.0,1.76,0.69,0.12,0.37
2001.0,2.07,0.77,0.05,0.05
2007.0,1.83,0.8,0.03,0.27
2006.0,0.87,1.06,0.73,0.26
2007.0,1.43,1.13,0.05,0.3
2002.0,1.75,0.45,0.62,0.09
2013.0,0.61,1.85,0.11,0.33
2014.0,1.84,0.8,0.04,0.22
2004.0,1.54,1.14,0.0,0.22
2008.0,1.75,0.86,0.0,0.28
2003.0,0.08,1.24,1.13,0.45
2012.0,0.71,1.51,0.06,0.61
2001.0,0.99,0.32,1.38,0.2
2004.0,1.51,1.12,0.01,0.24
2011.0,1.54,1.07,0.0,0.28
1999.0,2.03,0.72,0.02,0.11
2007.0,1.3,1.27,0.0,0.31
1998.0,0.09,2.43,0.12,0.22
2013.0,1.87,0.77,0.0,0.22
2012.0,2.53,0.16,0.0,0.17
2002.0,2.09,0.63,0.03,0.11
2011.0,1.98,0.55,0.0,0.32
1990.0,1.37,0.51,0.89,0.07
1997.0,1.29,0.53,0.98,0.05
1996.0,1.37,1.34,0.0,0.14
2011.0,1.4,1.14,0.0,0.31
2015.0,0.4,1.98,0.05,0.42
2010.0,1.87,0.57,0.11,0.3
2007.0,1.65,0.86,0.05,0.28
2009.0,2.52,0.09,0.0,0.22
2010.0,1.28,1.05,0.07,0.43
2002.0,1.32,1.08,0.04,0.39
2002.0,1.96,0.67,0.1,0.09
2003.0,1.59,1.05,0.04,0.14
1994.0,0.02,2.79,0.0,0.0
2010.0,1.05,1.25,0.03,0.48
2007.0,1.32,1.19,0.0,0.3
2003.0,1.32,1.06,0.04,0.38
2008.0,1.74,0.8,0.0,0.26
2006.0,1.47,0.07,1.1,0.15
1997.0,0.29,0.2,2.13,0.18
2011.0,1.45,0.88,0.09,0.38
1998.0,1.96,0.72,0.0,0.11
2001.0,1.19,1.15,0.04,0.41
1992.0,0.0,0.0,2.78,0.01
1996.0,1.98,0.7,0.0,0.11
2011.0,0.89,1.43,0.0,0.48
2001.0,2.19,0.22,0.0,0.38
2009.0,0.3,1.47,0.68,0.34
2011.0,0.46,0.29,1.96,0.07
2003.0,1.68,0.74,0.0,0.36
2014.0,1.27,0.97,0.07,0.47
2003.0,1.44,0.83,0.26,0.25
2009.0,1.2,0.98,0.17,0.43
2003.0,1.41,1.12,0.0,0.24
2007.0,1.24,1.2,0.04,0.3
2011.0,1.25,1.15,0.07,0.3
1980.0,2.56,0.17,0.0,0.03
1992.0,1.43,0.54,0.71,0.07
2013.0,1.07,1.31,0.06,0.31
2000.0,1.02,0.36,1.13,0.23
1986.0,1.33,0.31,1.04,0.05
2011.0,1.52,0.94,0.02,0.24
2006.0,1.49,0.93,0.02,0.27
2002.0,1.75,0.52,0.33,0.1
2001.0,0.99,0.48,1.09,0.14
2015.0,1.47,0.76,0.0,0.47
1998.0,1.25,0.53,0.87,0.05
2011.0,2.42,0.11,0.0,0.16
2006.0,1.85,0.64,0.01,0.19
2010.0,2.38,0.12,0.0,0.18
2010.0,1.63,0.52,0.35,0.18
2010.0,1.46,0.98,0.0,0.24
2004.0,1.23,1.11,0.0,0.34
2014.0,0.0,0.0,2.68,0.0
2009.0,0.69,1.41,0.04,0.53
2011.0,0.78,0.75,0.89,0.26
1992.0,1.95,0.63,0.0,0.09
2005.0,1.48,0.92,0.01,0.26
2008.0,1.78,0.64,0.0,0.25
1998.0,1.44,1.09,0.0,0.14
2004.0,1.99,0.58,0.0,0.09
2006.0,1.59,0.8,0.0,0.26
2003.0,1.15,1.11,0.0,0.4
2012.0,1.56,0.88,0.0,0.22
2006.0,0.86,1.11,0.01,0.66
1986.0,0.0,0.0,2.65,0.0
1996.0,2.0,0.5,0.12,0.03
2007.0,1.53,0.87,0.0,0.24
2000.0,2.0,0.47,0.02,0.14
2006.0,0.76,1.1,0.12,0.65
2009.0,1.53,0.82,0.04,0.24
2009.0,1.7,0.46,0.06,0.41
2004.0,2.15,0.12,0.0,0.36
2007.0,1.07,1.06,0.24,0.25
2010.0,1.55,0.81,0.04,0.21
2009.0,0.59,1.79,0.01,0.23
2011.0,2.31,0.14,0.01,0.16
2008.0,0.63,0.84,0.96,0.19
2002.0,0.9,1.22,0.04,0.44
2010.0,1.02,0.52,0.92,0.14
1990.0,1.86,0.55,0.11,0.08
2008.0,0.48,1.63,0.04,0.43
2007.0,0.93,1.12,0.08,0.45
2004.0,2.03,0.21,0.0,0.35
2009.0,0.64,1.24,0.01,0.69
2013.0,0.89,1.33,0.07,0.28
2009.0,1.04,1.24,0.03,0.27
2007.0,0.37,0.27,1.75,0.18
2006.0,1.4,0.88,0.03,0.26
2004.0,1.31,0.74,0.31,0.22
2010.0,0.28,1.68,0.33,0.28
2009.0,1.76,0.56,0.03,0.22
2007.0,2.14,0.08,0.0,0.35
2001.0,1.7,0.59,0.21,0.07
1987.0,0.15,0.0,2.41,0.0
2012.0,2.11,0.23,0.0,0.22
2003.0,1.21,0.57,0.7,0.07
2008.0,1.13,0.87,0.29,0.25
2008.0,2.21,0.12,0.0,0.2
,2.36,0.14,0.0,0.03
2001.0,1.13,1.12,0.06,0.22
2000.0,1.55,0.75,0.16,0.06
2007.0,1.5,0.78,0.0,0.24
1986.0,0.49,0.0,0.52,1.51
2013.0,0.6,1.31,0.08,0.52
2006.0,2.29,0.02,0.0,0.19
2008.0,0.13,0.07,0.26,2.05
1999.0,1.28,0.14,1.08,0.01
2011.0,0.86,1.06,0.18,0.39
2003.0,1.84,0.56,0.0,0.09
2010.0,1.29,0.97,0.0,0.23
2002.0,1.81,0.52,0.0,0.15
2008.0,1.15,0.85,0.1,0.39
2008.0,1.38,0.85,0.0,0.25
1998.0,1.15,1.14,0.06,0.13
2012.0,1.72,0.44,0.05,0.27
,1.93,0.34,0.0,0.21
2013.0,2.1,0.2,0.0,0.17
2002.0,1.13,0.36,0.92,0.07
2010.0,1.67,0.58,0.0,0.2
2008.0,1.55,0.54,0.05,0.31
1992.0,0.0,0.0,2.43,0.02
1997.0,0.93,0.12,1.34,0.06
1996.0,2.12,0.25,0.0,0.07
2011.0,1.44,0.73,0.04,0.22
2006.0,0.87,0.98,0.0,0.59
2003.0,1.07,1.19,0.0,0.18
1997.0,1.52,0.82,0.0,0.1
2008.0,1.56,0.61,0.02,0.23
1998.0,1.26,0.61,0.46,0.08
1988.0,1.27,0.32,0.78,0.05
2010.0,0.29,1.18,0.54,0.41
2003.0,1.63,0.22,0.51,0.06
2001.0,2.07,0.26,0.0,0.08
1998.0,0.81,0.76,0.7,0.14
2014.0,1.43,0.76,0.0,0.22
2007.0,0.69,0.0,0.04,1.68
2015.0,2.07,0.08,0.0,0.26
1996.0,2.1,0.24,0.0,0.07
1987.0,0.77,0.18,1.42,0.03
1997.0,2.3,0.1,0.0,0.0
,2.15,0.18,0.0,0.07
2015.0,0.49,1.49,0.05,0.36
2010.0,1.74,0.48,0.0,0.18
,1.54,0.63,0.0,0.22
1994.0,1.49,0.81,0.0,0.1
2013.0,1.07,0.87,0.04,0.4
2011.0,1.48,0.71,0.0,0.2
2005.0,1.67,0.61,0.03,0.07
2007.0,1.02,0.97,0.0,0.39
2011.0,1.73,0.46,0.02,0.18
1998.0,1.94,0.39,0.03,0.02
2015.0,1.0,0.76,0.26,0.36
2014.0,1.46,0.54,0.01,0.37
2010.0,2.04,0.15,0.0,0.19
2001.0,1.16,0.91,0.0,0.3
2007.0,2.18,0.01,0.0,0.18
