Year,Publisher,Global_Sales
1992.0,Nintendo,8.76
2015.0,Electronic Arts,8.49
2010.0,Nintendo,8.49
2004.0,Microsoft Game Studios,8.49
2007.0,Nintendo,8.42
2012.0,Nintendo,8.33
2012.0,Electronic Arts,8.24
2009.0,Electronic Arts,8.11
1997.0,Nintendo,8.09
2007.0,Sega,8.06
2001.0,Sony Computer Entertainment,8.05
1999.0,SquareSoft,7.86
2008.0,Nintendo,7.84
1982.0,Atari,7.81
2005.0,Take-Two Interactive,7.72
2010.0,Nintendo,7.69
2015.0,Electronic Arts,7.67
2014.0,Activision,7.6
1998.0,Nintendo,7.6
1997.0,Sony Computer Entertainment,7.58
1988.0,Nintendo,7.46
2014.0,Nintendo,7.45
2008.0,Activision,7.37
2011.0,Electronic Arts,7.34
2006.0,Nintendo,7.31
2015.0,Activision,7.3
2009.0,Ubisoft,7.27
2011.0,Electronic Arts,7.23
2003.0,Electronic Arts,7.2
1998.0,Sony Computer Entertainment,7.16
1998.0,Sony Computer Entertainment,7.13
2001.0,Nintendo,7.07
2014.0,Nintendo,6.96
2015.0,Bethesda Softworks,6.96
2003.0,Nintendo,6.95
2012.0,Ubisoft,6.91
2013.0,Electronic Arts,6.9
2004.0,Electronic Arts,6.9
2002.0,Electronic Arts,6.83
2011.0,Sony Computer Entertainment,6.83
1996.0,Sony Computer Entertainment,6.82
2010.0,505 Games,6.81
2008.0,Microsoft Game Studios,6.76
2009.0,Sony Computer Entertainment,6.73
2007.0,Activision,6.72
2011.0,Electronic Arts,6.69
2005.0,Nintendo,6.67
2010.0,Take-Two Interactive,6.6
2014.0,Electronic Arts,6.59
2010.0,Nintendo,6.59
2011.0,Bethesda Softworks,6.56
1986.0,Nintendo,6.51
2012.0,Ubisoft,6.5
2001.0,Microsoft Game Studios,6.43
2004.0,Nintendo,6.41
2002.0,Sony Computer Entertainment,6.4
2000.0,Nintendo,6.39
2009.0,Microsoft Game Studios,6.36
2010.0,Take-Two Interactive,6.34
2002.0,Nintendo,6.31
1992.0,Capcom,6.3
2004.0,Activision,6.28
1999.0,GT Interactive,6.27
2010.0,Microsoft Game Studios,6.24
2011.0,Microsoft Game Studios,6.24
2006.0,Microsoft Game Studios,6.11
2001.0,Konami Digital Entertainment,6.05
1992.0,Sega,6.03
2008.0,Konami Digital Entertainment,6.03
1998.0,Konami Digital Entertainment,6.03
2013.0,Sony Computer Entertainment Europe,5.99
2006.0,Square Enix,5.95
2008.0,Sony Computer Entertainment,5.92
2009.0,Nintendo,5.84
2007.0,LucasArts,5.83
1998.0,Virgin Interactive,5.82
1996.0,Sony Computer Entertainment,5.74
2006.0,505 Games,5.72
2014.0,Activision,5.65
1988.0,Nintendo,5.58
2009.0,Ubisoft,5.57
1999.0,Nintendo,5.55
2007.0,Ubisoft,5.55
2011.0,Warner Bros. Interactive Entertainment,5.53
2009.0,Microsoft Game Studios,5.51
2008.0,Capcom,5.5
2001.0,Nintendo,5.49
2001.0,Nintendo,5.47
2001.0,Nintendo,5.46
1999.0,Nintendo,5.45
2008.0,Activision,5.43
2001.0,Universal Interactive,5.42
2014.0,Sony Computer Entertainment,5.42
2009.0,Square Enix,5.36
1989.0,Nintendo,5.34
1999.0,Nintendo,5.31
2012.0,Ubisoft,5.3
2000.0,SquareSoft,5.3
2003.0,Electronic Arts,5.29
1999.0,Nintendo,5.27
2009.0,Ubisoft,5.27
2007.0,Nintendo,5.26
1997.0,Eidos Interactive,5.24
,Electronic Arts,5.23
2004.0,Square Enix,5.21
2012.0,Activision,5.2
2003.0,Nintendo,5.2
2012.0,Nintendo,5.19
1994.0,Nintendo,5.19
2012.0,Electronic Arts,5.18
2007.0,Nintendo,5.17
1995.0,Nintendo,5.15
2013.0,Nintendo,5.15
2008.0,Sega,5.14
2003.0,Electronic Arts,5.13
1992.0,Nintendo,5.13
2010.0,Microsoft Game Studios,5.13
2014.0,Activision,5.13
1996.0,Microsoft Game Studios,5.12
2006.0,RedOctane,5.12
2009.0,Capcom,5.11
2014.0,Take-Two Interactive,5.08
2006.0,Take-Two Interactive,5.08
2010.0,Electronic Arts,5.08
1999.0,Nintendo,5.07
1996.0,Virgin Interactive,5.05
1999.0,Activision,5.02
2014.0,Nintendo,5.02
1999.0,Eidos Interactive,5.01
1998.0,Sony Computer Entertainment,5.0
2007.0,Nintendo,5.0
2007.0,Activision,4.98
2008.0,Bethesda Softworks,4.96
2007.0,Nintendo,4.96
2007.0,Sony Computer Entertainment,4.94
2005.0,Electronic Arts,4.91
2007.0,LucasArts,4.9
1997.0,Nintendo,4.88
2010.0,Capcom,4.87
1990.0,Nintendo,4.85
2010.0,Sony Computer Entertainment,4.84
2010.0,Activision,4.83
2007.0,Ubisoft,4.83
2014.0,Electronic Arts,4.82
1999.0,Sony Computer Entertainment,4.79
2016.0,Electronic Arts,4.77
2011.0,Warner Bros. Interactive Entertainment,4.76
2000.0,Atari,4.73
2003.0,Vivendi Games,4.7
2000.0,Activision,4.68
2008.0,Nintendo,4.68
2002.0,Electronic Arts,4.67
2011.0,Microsoft Game Studios,4.64
1996.0,Eidos Interactive,4.63
2007.0,Activision,4.62
1991.0,Nintendo,4.61
2002.0,Nintendo,4.6
2009.0,Sega,4.58
2013.0,Nintendo,4.58
2015.0,Nintendo,4.57
2014.0,Sony Computer Entertainment,4.55
2007.0,Activision,4.53
2004.0,Electronic Arts,4.53
1981.0,Activision,4.5
2006.0,Electronic Arts,4.49
2002.0,Activision,4.48
2000.0,Enix Corporation,4.47
2015.0,Sony Computer Entertainment,4.47
2014.0,Activision,4.45
2005.0,Sony Computer Entertainment,4.45
2012.0,Nintendo,4.44
2010.0,Ubisoft,4.42
2001.0,Activision,4.41
2006.0,Konami Digital Entertainment,4.39
2006.0,Take-Two Interactive,4.39
1987.0,Nintendo,4.38
2005.0,Electronic Arts,4.37
2006.0,Sony Computer Entertainment,4.35
1991.0,Sega,4.34
2005.0,Square Enix,4.33
2013.0,Electronic Arts,4.31
2014.0,Activision,4.31
1980.0,Atari,4.31
2008.0,Microsoft Game Studios,4.31
2015.0,Microsoft Game Studios,4.26
2013.0,Nintendo,4.25
2009.0,Eidos Interactive,4.25
2011.0,Ubisoft,4.24
2001.0,Namco Bandai Games,4.24
2004.0,Konami Digital Entertainment,4.23
2006.0,Sony Computer Entertainment,4.22
1995.0,Activision,4.21
2011.0,Nintendo,4.21
2005.0,Electronic Arts,4.21
2003.0,Sony Computer Entertainment,4.2
2016.0,Sony Computer Entertainment,4.2
2007.0,Sony Computer Entertainment,4.2
2011.0,Ubisoft,4.19
2009.0,Capcom,4.19
2011.0,Electronic Arts,4.19
1989.0,Palcom,4.17
1984.0,Nintendo,4.16
1997.0,Hasbro Interactive,4.16
2002.0,Electronic Arts,4.14
2014.0,Ubisoft,4.14
1997.0,Vivendi Games,4.12
1995.0,Nintendo,4.12
2006.0,Electronic Arts,4.11
2011.0,Nintendo,4.1
1992.0,Capcom,4.1
2007.0,Take-Two Interactive,4.1
2015.0,Bethesda Softworks,4.09
2007.0,Activision,4.09
2010.0,Bethesda Softworks,4.08
2007.0,Sony Computer Entertainment,4.07
2007.0,Microsoft Game Studios,4.06
2005.0,Konami Digital Entertainment,4.06
1996.0,Sony Computer Entertainment,4.05
2000.0,Namco Bandai Games,4.05
2014.0,Ubisoft,4.03
1997.0,Nintendo,4.03
2014.0,Sony Computer Entertainment Europe,4.02
1984.0,Nintendo,4.01
2008.0,Bethesda Softworks,4.01
2007.0,Nintendo,4.0
2009.0,Electronic Arts,3.99
2005.0,Namco Bandai Games,3.98
2009.0,Electronic Arts,3.92
2014.0,Ubisoft,3.92
1994.0,Nintendo,3.91
2003.0,Activision,3.9
2013.0,Ubisoft,3.89
2014.0,Nintendo,3.89
2006.0,Sony Computer Entertainment,3.88
2011.0,Bethesda Softworks,3.88
2005.0,Namco Bandai Games,3.87
1988.0,Enix Corporation,3.87
2010.0,Sony Computer Entertainment,3.87
2015.0,Take-Two Interactive,3.85
2004.0,Konami Digital Entertainment,3.85
2007.0,Nintendo,3.84
1995.0,Sony Computer Entertainment,3.84
1992.0,Nintendo,3.83
2009.0,Nintendo,3.83
2007.0,Nintendo,3.82
2011.0,Nintendo,3.81
2015.0,Warner Bros. Interactive Entertainment,3.79
2011.0,Sega,3.78
2008.0,Activision,3.78
1996.0,Virgin Interactive,3.77
2007.0,Sony Computer Entertainment,3.77
2013.0,Ubisoft,3.76
2002.0,Electronic Arts,3.76
2007.0,Nintendo,3.76
2001.0,Electronic Arts,3.73
2015.0,Namco Bandai Games,3.73
1999.0,Eidos Interactive,3.72
2000.0,Sony Computer Entertainment,3.71
2004.0,Electronic Arts,3.7
1998.0,Nintendo,3.7
2013.0,Electronic Arts,3.69
2007.0,Electronic Arts,3.69
2009.0,Nintendo,3.67
2002.0,Activision,3.67
2005.0,Take-Two Interactive,3.66
1998.0,Nintendo,3.65
2002.0,Sony Computer Entertainment,3.65
2008.0,Activision,3.65
2013.0,Sony Computer Entertainment,3.64
2001.0,Sony Computer Entertainment,3.64
1999.0,Nintendo,3.63
2009.0,Electronic Arts,3.63
2007.0,Konami Digital Entertainment,3.63
2013.0,Activision,3.63
2005.0,Capcom,3.62
2016.0,Ubisoft,3.61
2004.0,LucasArts,3.61
1994.0,Virgin Interactive,3.61
2001.0,Electronic Arts,3.61
2007.0,505 Games,3.61
2001.0,Nintendo,3.6
2005.0,LucasArts,3.59
2000.0,THQ,3.58
1997.0,Fox Interactive,3.56
2006.0,Take-Two Interactive,3.54
2002.0,Sony Computer Entertainment,3.54
1997.0,Eidos Interactive,3.54
2001.0,Electronic Arts,3.53
2005.0,Eidos Interactive,3.53
2013.0,Electronic Arts,3.53
2010.0,Electronic Arts,3.53
2000.0,THQ,3.52
1999.0,Sony Computer Entertainment,3.52
2008.0,Electronic Arts,3.52
2009.0,Sega,3.52
2009.0,Capcom,3.51
1996.0,Nintendo,3.51
2010.0,Ubisoft,3.5
1985.0,Nintendo,3.5
2009.0,Eidos Interactive,3.5
2006.0,Nintendo,3.5
,Electronic Arts,3.49
2015.0,Electronic Arts,3.49
2010.0,Electronic Arts,3.48
2008.0,Activision,3.48
2014.0,Ubisoft,3.46
2012.0,Ubisoft,3.45
2013.0,Capcom,3.44
2009.0,Take-Two Interactive,3.44
2002.0,Namco Bandai Games,3.44
2013.0,Electronic Arts,3.43
2011.0,Sony Computer Entertainment,3.42
1998.0,Take-Two Interactive,3.42
1994.0,SquareSoft,3.42
2004.0,Activision,3.41
1990.0,Nintendo,3.41
2002.0,Electronic Arts,3.4
2000.0,Sony Computer Entertainment,3.39
2008.0,Warner Bros. Interactive Entertainment,3.38
2015.0,Konami Digital Entertainment,3.38
2009.0,Nintendo,3.38
1998.0,Acclaim Entertainment,3.36
2000.0,Nintendo,3.36
2008.0,Nintendo,3.36
1998.0,THQ,3.34
2013.0,Ubisoft,3.34
2006.0,Nintendo,3.33
2002.0,Electronic Arts,3.33
2002.0,Sony Computer Entertainment,3.33
2012.0,Nintendo,3.32
2005.0,LucasArts,3.32
2001.0,Take-Two Interactive,3.31
2003.0,Electronic Arts,3.28
2015.0,Ubisoft,3.28
2014.0,Activision,3.28
2003.0,Activision,3.27
2008.0,Nintendo,3.27
2009.0,Sony Computer Entertainment,3.27
2015.0,Capcom,3.26
1995.0,Sony Computer Entertainment,3.24
2015.0,Electronic Arts,3.23
2011.0,Take-Two Interactive,3.23
2015.0,Electronic Arts,3.22
2014.0,Nintendo,3.22
1999.0,Electronic Arts,3.21
1983.0,Nintendo,3.2
1995.0,Nintendo,3.2
2000.0,THQ,3.2
2007.0,Square Enix,3.19
2008.0,Sony Computer Entertainment,3.19
1995.0,Enix Corporation,3.19
2010.0,MTV Games,3.19
2003.0,Atari,3.18
2015.0,Nintendo,3.18
2010.0,Bethesda Softworks,3.17
,Warner Bros. Interactive Entertainment,3.17
2008.0,Nintendo,3.17
2001.0,Sony Computer Entertainment Europe,3.17
2008.0,Disney Interactive Studios,3.16
2001.0,Nintendo,3.15
2008.0,Warner Bros. Interactive Entertainment,3.15
2005.0,Sega,3.15
2012.0,Capcom,3.15
2014.0,Microsoft Game Studios,3.15
2007.0,Electronic Arts,3.14
2000.0,Activision,3.13
1998.0,Electronic Arts,3.12
1999.0,Nintendo,3.12
2006.0,Nintendo,3.12
2007.0,Ubisoft,3.12
1990.0,Enix Corporation,3.12
2010.0,Sony Computer Entertainment,3.12
2010.0,Electronic Arts,3.11
2014.0,Electronic Arts,3.11
2002.0,Atari,3.09
2001.0,Electronic Arts,3.08
1986.0,Namco Bandai Games,3.08
2012.0,Take-Two Interactive,3.07
2013.0,Nintendo,3.07
1994.0,Nintendo,3.07
2002.0,Electronic Arts,3.07
2012.0,Electronic Arts,3.07
2008.0,Activision,3.05
2012.0,Ubisoft,3.04
2010.0,Disney Interactive Studios,3.04
2008.0,THQ,3.03
1995.0,Ubisoft,3.03
2009.0,Sony Computer Entertainment,3.02
2002.0,Ubisoft,3.02
1987.0,Nintendo,3.02
2002.0,THQ,3.02
2015.0,Microsoft Game Studios,3.0
2012.0,Take-Two Interactive,3.0
2007.0,Atari,3.0
,,3.0
2014.0,Warner Bros. Interactive Entertainment,2.99
1993.0,Nintendo,2.99
2000.0,Electronic Arts,2.99
2002.0,Konami Digital Entertainment,2.99
2001.0,Capcom,2.99
2015.0,Nintendo,2.98
2010.0,Electronic Arts,2.97
2014.0,Electronic Arts,2.97
2011.0,Electronic Arts,2.97
2003.0,Sega,2.96
2008.0,Nintendo,2.96
2002.0,Eidos Interactive,2.96
2009.0,Capcom,2.95
1996.0,Nintendo,2.94
2003.0,Sony Computer Entertainment,2.94
2005.0,THQ,2.94
2009.0,Sony Computer Entertainment,2.94
2001.0,Atari,2.94
2007.0,Microsoft Game Studios,2.93
2006.0,Nintendo,2.92
2007.0,505 Games,2.91
2002.0,Nintendo,2.91
2013.0,Electronic Arts,2.9
2014.0,Electronic Arts,2.9
2004.0,Sega,2.9
2008.0,Sega,2.9
2003.0,Konami Digital Entertainment,2.9
2012.0,Electronic Arts,2.89
2001.0,Sony Computer Entertainment,2.89
2004.0,Activision,2.89
2011.0,Majesco Entertainment,2.88
1999.0,Sony Computer Entertainment,2.88
2007.0,Ubisoft,2.88
1998.0,Codemasters,2.87
2013.0,Activision,2.86
2012.0,Electronic Arts,2.86
2002.0,Ubisoft,2.86
2011.0,Warner Bros. Interactive Entertainment,2.85
1990.0,Nintendo,2.85
1997.0,Nintendo,2.85
1996.0,Virgin Interactive,2.85
2011.0,Activision,2.85
2015.0,Electronic Arts,2.85
2010.0,Ubisoft,2.84
2007.0,Take-Two Interactive,2.83
2009.0,Electronic Arts,2.83
2010.0,Electronic Arts,2.83
2002.0,THQ,2.83
2002.0,Nintendo,2.82
2003.0,THQ,2.82
1994.0,Red Orb,2.81
2010.0,Electronic Arts,2.81
2007.0,Ubisoft,2.81
2003.0,THQ,2.8
2008.0,LucasArts,2.8
2006.0,Nintendo,2.8
1997.0,Sony Computer Entertainment,2.79
2011.0,Sony Computer Entertainment,2.79
1998.0,Sony Computer Entertainment,2.79
2001.0,THQ,2.79
1992.0,Enix Corporation,2.79
1996.0,GT Interactive,2.79
2011.0,Electronic Arts,2.79
2001.0,Electronic Arts,2.79
2009.0,Nintendo,2.79
2011.0,Nintendo,2.79
2003.0,Sony Computer Entertainment,2.78
2014.0,Sony Computer Entertainment,2.78
2003.0,Sony Computer Entertainment,2.78
2009.0,Namco Bandai Games,2.78
2003.0,Electronic Arts,2.77
2007.0,Sega,2.77
2011.0,THQ,2.77
1980.0,Atari,2.76
1992.0,Nintendo,2.75
2013.0,Ubisoft,2.74
2000.0,Nintendo,2.73
1986.0,Nintendo,2.73
2011.0,Take-Two Interactive,2.72
2006.0,Activision,2.71
2002.0,Nintendo,2.7
2001.0,Virgin Interactive,2.7
2015.0,Warner Bros. Interactive Entertainment,2.7
1998.0,Nintendo,2.7
2011.0,Electronic Arts,2.69
2006.0,LucasArts,2.69
2010.0,Electronic Arts,2.69
2010.0,Nintendo,2.69
2010.0,Electronic Arts,2.68
2004.0,Electronic Arts,2.68
2014.0,Level 5,2.68
2009.0,Electronic Arts,2.68
2011.0,Square Enix,2.68
1992.0,Arena Entertainment,2.67
2005.0,Activision,2.67
2008.0,Activision,2.67
1998.0,Electronic Arts,2.67
2004.0,Microsoft Game Studios,2.66
2006.0,Disney Interactive Studios,2.65
2003.0,Ubisoft,2.65
2012.0,Activision,2.65
2006.0,Electronic Arts,2.65
1986.0,Nintendo,2.65
1996.0,Nintendo,2.65
2007.0,LucasArts,2.64
2000.0,Take-Two Interactive,2.63
2006.0,Sony Computer Entertainment,2.63
2009.0,Microsoft Game Studios,2.63
2009.0,Sony Computer Entertainment,2.63
2004.0,Sega,2.62
2007.0,Nintendo,2.62
2010.0,Electronic Arts,2.62
2009.0,Electronic Arts,2.62
2011.0,Take-Two Interactive,2.62
2008.0,Nintendo,2.61
2002.0,Electronic Arts,2.61
2010.0,Nintendo,2.6
1990.0,Sega,2.6
2008.0,Electronic Arts,2.59
2007.0,Sony Computer Entertainment,2.59
2004.0,Electronic Arts,2.59
2009.0,Sony Computer Entertainment,2.58
2013.0,Sony Computer Entertainment,2.58
2009.0,Take-Two Interactive,2.58
2007.0,Capcom,2.58
2006.0,THQ,2.58
2004.0,Sony Computer Entertainment,2.57
2010.0,Nintendo,2.57
2009.0,Electronic Arts,2.57
2007.0,Electronic Arts,2.57
2001.0,Sega,2.56
1987.0,Enix Corporation,2.56
2012.0,Electronic Arts,2.56
2003.0,Nintendo,2.54
2008.0,Konami Digital Entertainment,2.54
2008.0,Electronic Arts,2.54
,Atari,2.53
2001.0,Acclaim Entertainment,2.52
2000.0,Nintendo,2.52
2007.0,Midway Games,2.52
1986.0,Capcom,2.52
2013.0,Square Enix,2.51
2006.0,Activision,2.5
2008.0,Konami Digital Entertainment,2.5
1999.0,Nintendo,2.5
2011.0,THQ,2.49
2003.0,Take-Two Interactive,2.49
2010.0,Warner Bros. Interactive Entertainment,2.49
2002.0,Midway Games,2.49
2008.0,Sony Computer Entertainment,2.48
2008.0,Disney Interactive Studios,2.48
1998.0,Eidos Interactive,2.48
2012.0,Take-Two Interactive,2.48
,Electronic Arts,2.48
2013.0,Take-Two Interactive,2.47
2002.0,Nintendo,2.47
2010.0,THQ,2.46
2008.0,Take-Two Interactive,2.45
1992.0,SquareSoft,2.45
1997.0,SquareSoft,2.45
1996.0,Sony Computer Entertainment,2.44
2011.0,Microsoft Game Studios,2.44
2006.0,Electronic Arts,2.44
2003.0,Electronic Arts,2.43
1997.0,Red Orb,2.43
2008.0,Ubisoft,2.42
1998.0,Sega,2.42
1988.0,Nintendo,2.42
2010.0,Konami Digital Entertainment,2.42
2003.0,Atari,2.41
2001.0,Sony Computer Entertainment,2.41
1998.0,Capcom,2.41
2014.0,Microsoft Game Studios,2.41
2007.0,Electronic Arts,2.41
2015.0,Electronic Arts,2.4
1996.0,JVC,2.4
1987.0,Nintendo,2.4
1997.0,Electronic Arts,2.4
,Konami Digital Entertainment,2.39
2015.0,Electronic Arts,2.39
2010.0,505 Games,2.39
,LucasArts,2.39
1994.0,Hasbro Interactive,2.39
2013.0,Warner Bros. Interactive Entertainment,2.39
2011.0,Deep Silver,2.39
2005.0,RedOctane,2.38
2007.0,LucasArts,2.38
2011.0,Microsoft Game Studios,2.38
1998.0,THQ,2.38
2015.0,Sony Computer Entertainment,2.38
2014.0,Take-Two Interactive,2.38
2010.0,Electronic Arts,2.38
2001.0,Konami Digital Entertainment,2.38
2007.0,Electronic Arts,2.37
2004.0,Vivendi Games,2.37
2004.0,THQ,2.37
2004.0,Activision,2.37
2009.0,Electronic Arts,2.37
2011.0,Microsoft Game Studios,2.36
1995.0,Nintendo,2.36
2010.0,Warner Bros. Interactive Entertainment,2.35
1996.0,Nintendo,2.35
1998.0,Eidos Interactive,2.35
2008.0,Take-Two Interactive,2.35
2013.0,Activision,2.34
2007.0,THQ,2.34
2008.0,Ubisoft,2.34
2001.0,Capcom,2.34
2010.0,Electronic Arts,2.33
2015.0,Nintendo,2.32
2015.0,Take-Two Interactive,2.32
2010.0,Ubisoft,2.32
2000.0,Nintendo,2.32
1997.0,Take-Two Interactive,2.32
2004.0,Electronic Arts,2.31
2004.0,Nintendo,2.31
1999.0,Electronic Arts,2.31
1995.0,SquareSoft,2.31
1998.0,989 Studios,2.31
2013.0,Warner Bros. Interactive Entertainment,2.3
2012.0,NCSoft,2.3
2008.0,Nintendo,2.3
2011.0,Deep Silver,2.29
1997.0,Eidos Interactive,2.29
2013.0,Sony Computer Entertainment,2.29
2004.0,Electronic Arts,2.28
2009.0,Konami Digital Entertainment,2.28
2014.0,Ubisoft,2.28
2015.0,Level 5,2.28
1983.0,Nintendo,2.28
2008.0,Electronic Arts,2.28
2008.0,LucasArts,2.28
2012.0,Take-Two Interactive,2.28
1997.0,Codemasters,2.28
2012.0,Nintendo,2.27
2009.0,Sega,2.27
2006.0,Sega,2.27
2002.0,Nintendo,2.27
2001.0,Nintendo,2.26
2007.0,Activision,2.26
,Activision,2.26
2007.0,Capcom,2.26
2014.0,Sony Computer Entertainment Europe,2.25
2002.0,Capcom,2.25
1997.0,UEP Systems,2.25
2004.0,Nintendo,2.25
2011.0,Electronic Arts,2.25
2009.0,Nintendo,2.25
2008.0,Square Enix,2.25
2001.0,Sega,2.24
2001.0,Vivendi Games,2.23
1990.0,Konami Digital Entertainment,2.23
2008.0,Activision,2.23
2009.0,Konami Digital Entertainment,2.23
2013.0,Nintendo,2.22
2003.0,Ubisoft,2.22
2009.0,Warner Bros. Interactive Entertainment,2.22
1998.0,Nintendo,2.22
2010.0,Electronic Arts,2.22
2010.0,Take-Two Interactive,2.21
2013.0,Ubisoft,2.21
2006.0,Capcom,2.21
2008.0,Electronic Arts,2.2
1981.0,Parker Bros.,2.2
2007.0,Activision,2.2
2000.0,Nintendo,2.2
1986.0,Namco Bandai Games,2.2
2008.0,Sega,2.2
2007.0,Disney Interactive Studios,2.2
2011.0,Konami Digital Entertainment,2.19
2006.0,THQ,2.19
2003.0,Activision,2.19
1992.0,Nintendo,2.19
2000.0,Nintendo,2.19
2012.0,Square Enix,2.19
2000.0,Konami Digital Entertainment,2.18
2002.0,THQ,2.18
2013.0,Microsoft Game Studios,2.18
2013.0,Electronic Arts,2.18
2006.0,Nintendo,2.18
2003.0,Nintendo,2.17
2010.0,Square Enix,2.17
1998.0,Nintendo,2.17
1984.0,Nintendo,2.17
2001.0,Electronic Arts,2.16
2009.0,Ubisoft,2.16
2000.0,Sony Computer Entertainment,2.15
2015.0,Ubisoft,2.15
1987.0,Nintendo,2.15
2014.0,Electronic Arts,2.15
2007.0,Activision,2.14
1996.0,Nintendo,2.14
1983.0,Nintendo,2.14
1988.0,Nintendo,2.14
1992.0,Maxis,2.14
1981.0,Imagic,2.13
2004.0,Konami Digital Entertainment,2.13
2006.0,Nintendo,2.13
2003.0,SquareSoft,2.13
2016.0,Ubisoft,2.13
2010.0,Disney Interactive Studios,2.12
2006.0,Square Enix,2.12
2010.0,Nintendo,2.12
2001.0,Microsoft Game Studios,2.12
1989.0,Nintendo,2.12
2011.0,Take-Two Interactive,2.11
2009.0,Take-Two Interactive,2.11
2000.0,Activision,2.11
2008.0,Konami Digital Entertainment,2.11
2002.0,Electronic Arts,2.11
2010.0,Nintendo,2.11
,MTV Games,2.11
2003.0,Tecmo Koei,2.11
2011.0,Warner Bros. Interactive Entertainment,2.11
1998.0,SquareSoft,2.1
2002.0,THQ,2.1
2002.0,Microsoft Game Studios,2.1
2005.0,Electronic Arts,2.1
2011.0,Valve Software,2.1
2005.0,Capcom,2.09
1997.0,ASCII Entertainment,2.09
2006.0,Capcom,2.09
2003.0,THQ,2.09
2010.0,Take-Two Interactive,2.09
2009.0,Mindscape,2.09
2006.0,Electronic Arts,2.09
2015.0,Electronic Arts,2.09
2010.0,Konami Digital Entertainment,2.09
2010.0,Activision,2.08
2002.0,THQ,2.08
2008.0,Electronic Arts,2.08
2007.0,Konami Digital Entertainment,2.08
2003.0,Nintendo,2.08
2010.0,Take-Two Interactive,2.08
1998.0,Electronic Arts,2.08
1994.0,Activision,2.08
2010.0,Electronic Arts,2.08
2002.0,Take-Two Interactive,2.07
2010.0,Square Enix,2.07
2009.0,THQ,2.07
2011.0,Namco Bandai Games,2.07
2001.0,Konami Digital Entertainment,2.07
2007.0,Electronic Arts,2.06
2010.0,Electronic Arts,2.06
2010.0,Ubisoft,2.06
2005.0,Nintendo,2.06
2004.0,THQ,2.06
1998.0,Namco Bandai Games,2.06
2003.0,Namco Bandai Games,2.06
2013.0,Nintendo,2.06
2007.0,Electronic Arts,2.05
2008.0,Take-Two Interactive,2.05
2013.0,Take-Two Interactive,2.05
2005.0,Nintendo,2.05
2002.0,Infogrames,2.05
2013.0,Activision,2.05
1992.0,Arena Entertainment,2.05
2007.0,Microsoft Game Studios,2.05
2009.0,Square Enix,2.04
2011.0,Microsoft Game Studios,2.04
2008.0,Ubisoft,2.04
2006.0,Sony Computer Entertainment,2.04
2005.0,Ubisoft,2.04
2003.0,Nintendo,2.04
2011.0,Electronic Arts,2.04
2014.0,Electronic Arts,2.03
1998.0,Nintendo,2.03
2011.0,Ubisoft,2.03
2003.0,Electronic Arts,2.03
