Platform,Genre,Global_Sales
SNES,Platform,5.15
3DS,Simulation,5.15
DS,Sports,5.14
PS2,Shooter,5.13
GB,Platform,5.13
X360,Role-Playing,5.13
XOne,Shooter,5.13
PC,Simulation,5.12
PS2,Misc,5.12
PS3,Action,5.11
XOne,Action,5.08
PSP,Action,5.08
PS3,Sports,5.08
GB,Platform,5.07
PS,Action,5.05
PS,Sports,5.02
WiiU,Fighting,5.02
PS,Strategy,5.01
PS,Platform,5.0
Wii,Shooter,5.0
PS2,Misc,4.98
X360,Role-Playing,4.96
DS,Role-Playing,4.96
PS3,Action,4.94
PS2,Sports,4.91
DS,Action,4.9
N64,Racing,4.88
PSP,Role-Playing,4.87
NES,Puzzle,4.85
PS3,Action,4.84
PC,Strategy,4.83
PS3,Adventure,4.83
PS3,Sports,4.82
PS,Racing,4.79
PS4,Sports,4.77
X360,Action,4.76
PS,Action,4.73
PS2,Racing,4.7
PS,Sports,4.68
Wii,Simulation,4.68
PS2,Action,4.67
X360,Racing,4.64
PS,Action,4.63
Wii,Misc,4.62
SNES,Action,4.61
GC,Action,4.6
Wii,Sports,4.58
3DS,Action,4.58
WiiU,Shooter,4.57
PS4,Action,4.55
X360,Misc,4.53
PS2,Sports,4.53
2600,Platform,4.5
PS2,Sports,4.49
PS2,Action,4.48
PS,Role-Playing,4.47
PS4,Action,4.47
PS3,Shooter,4.45
PS2,Action,4.45
WiiU,Misc,4.44
Wii,Misc,4.42
PS2,Sports,4.41
PS2,Sports,4.39
X360,Role-Playing,4.39
NES,Adventure,4.38
PS2,Racing,4.37
PS3,Shooter,4.35
GEN,Platform,4.34
PS2,Role-Playing,4.33
X360,Sports,4.31
X360,Shooter,4.31
2600,Shooter,4.31
X360,Role-Playing,4.31
XOne,Shooter,4.26
WiiU,Platform,4.25
PS3,Action,4.25
PS3,Action,4.24
GBA,Misc,4.24
PS2,Action,4.23
PSP,Platform,4.22
PC,Strategy,4.21
3DS,Action,4.21
PS2,Sports,4.21
PS2,Misc,4.2
PS4,Shooter,4.2
PS3,Racing,4.2
X360,Action,4.19
PS3,Fighting,4.19
X360,Sports,4.19
NES,Action,4.17
NES,Racing,4.16
PS,Action,4.16
PS2,Sports,4.14
PS4,Action,4.14
PC,Shooter,4.12
SNES,Platform,4.12
PS2,Sports,4.11
Wii,Action,4.1
SNES,Fighting,4.1
Wii,Misc,4.1
XOne,Role-Playing,4.09
PC,Role-Playing,4.09
X360,Role-Playing,4.08
PS2,Action,4.07
X360,Racing,4.06
PS2,Sports,4.06
PS,Misc,4.05
PS2,Fighting,4.05
PS4,Shooter,4.03
N64,Shooter,4.03
PS4,Misc,4.02
NES,Sports,4.01
PS3,Role-Playing,4.01
DS,Puzzle,4.0
X360,Shooter,3.99
PS2,Misc,3.98
Wii,Sports,3.92
PS4,Action,3.92
GB,Platform,3.91
PS2,Sports,3.9
PS3,Action,3.89
3DS,Role-Playing,3.89
PS3,Racing,3.88
PC,Role-Playing,3.88
PS2,Fighting,3.87
NES,Role-Playing,3.87
PS3,Sports,3.87
PS4,Sports,3.85
PS2,Sports,3.85
DS,Misc,3.84
PS,Misc,3.84
GB,Action,3.83
DS,Role-Playing,3.83
Wii,Misc,3.82
3DS,Simulation,3.81
PS4,Action,3.79
Wii,Sports,3.78
X360,Action,3.78
PS,Action,3.77
PSP,Platform,3.77
Wii,Misc,3.76
PC,Simulation,3.76
Wii,Platform,3.76
PS,Action,3.73
PS4,Role-Playing,3.73
PS,Action,3.72
PS,Platform,3.71
PS2,Sports,3.7
GB,Strategy,3.7
PS3,Shooter,3.69
DS,Simulation,3.69
DS,Misc,3.67
PS2,Sports,3.67
PSP,Racing,3.66
N64,Platform,3.65
PS2,Shooter,3.65
Wii,Misc,3.65
PS3,Racing,3.64
PS2,Platform,3.64
N64,Simulation,3.63
PS3,Sports,3.63
PS2,Sports,3.63
PS4,Shooter,3.63
PS2,Action,3.62
PS4,Shooter,3.61
PS2,Shooter,3.61
PC,Shooter,3.61
PS2,Racing,3.61
DS,Simulation,3.61
GC,Action,3.6
PS2,Shooter,3.59
PS,Fighting,3.58
PS,Platform,3.56
PS2,Action,3.54
PS2,Action,3.54
PS,Action,3.54
PS2,Shooter,3.53
PS2,Action,3.53
X360,Shooter,3.53
X360,Sports,3.53
PS,Action,3.52
PS,Platform,3.52
X360,Shooter,3.52
DS,Sports,3.52
X360,Action,3.51
SNES,Platform,3.51
X360,Action,3.5
NES,Action,3.5
X360,Action,3.5
DS,Misc,3.5
PS2,Sports,3.49
XOne,Shooter,3.49
X360,Shooter,3.48
DS,Misc,3.48
XOne,Action,3.46
PS3,Shooter,3.45
3DS,Role-Playing,3.44
X360,Shooter,3.44
PS2,Fighting,3.44
PS4,Shooter,3.43
PS3,Platform,3.42
PS,Action,3.42
SNES,Role-Playing,3.42
PS2,Action,3.41
GB,Racing,3.41
PS2,Sports,3.4
PS,Misc,3.39
X360,Action,3.38
PS4,Action,3.38
DS,Action,3.38
PS,Fighting,3.36
N64,Action,3.36
DS,Puzzle,3.36
PS,Adventure,3.34
X360,Action,3.34
DS,Misc,3.33
PS2,Shooter,3.33
PS2,Platform,3.33
Wii,Misc,3.32
PS2,Action,3.32
PS2,Shooter,3.31
PS2,Action,3.28
PS4,Action,3.28
XOne,Shooter,3.28
PS2,Action,3.27
Wii,Misc,3.27
PSP,Racing,3.27
3DS,Action,3.26
PS,Fighting,3.24
XOne,Sports,3.23
PS3,Adventure,3.23
PS4,Sports,3.22
3DS,Role-Playing,3.22
PS,Shooter,3.21
NES,Sports,3.2
SNES,Fighting,3.2
PS,Fighting,3.2
PSP,Role-Playing,3.19
PSP,Action,3.19
SNES,Role-Playing,3.19
X360,Misc,3.19
PS2,Action,3.18
WiiU,Platform,3.18
PS3,Role-Playing,3.17
Wii,Action,3.17
DS,Misc,3.17
PS2,Simulation,3.17
DS,Adventure,3.16
GC,Simulation,3.15
DS,Action,3.15
DS,Platform,3.15
PS3,Shooter,3.15
XOne,Shooter,3.15
PS2,Sports,3.14
PS,Action,3.13
PS,Racing,3.12
N64,Racing,3.12
DS,Misc,3.12
PS3,Role-Playing,3.12
NES,Role-Playing,3.12
PS3,Adventure,3.12
X360,Role-Playing,3.11
X360,Sports,3.11
PS2,Fighting,3.09
PS2,Sports,3.08
NES,Sports,3.08
X360,Shooter,3.07
3DS,Action,3.07
GB,Platform,3.07
PC,Simulation,3.07
X360,Role-Playing,3.07
X360,Action,3.05
X360,Shooter,3.04
Wii,Platform,3.04
X360,Action,3.03
PS,Platform,3.03
PS3,Shooter,3.02
XB,Action,3.02
NES,Fighting,3.02
PS2,Sports,3.02
XOne,Shooter,3.0
X360,Sports,3.0
PS2,Fighting,3.0
PS2,Fighting,3.0
PS4,Action,2.99
SNES,Shooter,2.99
PC,Misc,2.99
PS2,Sports,2.99
PS2,Action,2.99
3DS,Simulation,2.98
PS3,Shooter,2.97
PC,Simulation,2.97
PC,Role-Playing,2.97
PS2,Platform,2.96
DS,Platform,2.96
PS2,Action,2.96
X360,Fighting,2.95
N64,Racing,2.94
PS2,Shooter,2.94
PS2,Fighting,2.94
PS3,Action,2.94
GBA,Puzzle,2.94
X360,Role-Playing,2.93
Wii,Puzzle,2.92
Wii,Simulation,2.91
GBA,Platform,2.91
PS4,Sports,2.9
XOne,Shooter,2.9
PS2,Misc,2.9
X360,Sports,2.9
PS2,Sports,2.9
PS3,Racing,2.89
PS2,Sports,2.89
PS2,Shooter,2.89
Wii,Sports,2.88
PS,Shooter,2.88
DS,Simulation,2.88
PS,Racing,2.87
XOne,Shooter,2.86
X360,Sports,2.86
XB,Role-Playing,2.86
PS3,Fighting,2.85
SNES,Racing,2.85
N64,Platform,2.85
PC,Strategy,2.85
Wii,Action,2.85
PS3,Sports,2.85
PS3,Action,2.84
X360,Shooter,2.83
X360,Sports,2.83
PS3,Shooter,2.83
PS2,Fighting,2.83
GC,Shooter,2.82
GBA,Action,2.82
PC,Adventure,2.81
PS3,Racing,2.81
DS,Simulation,2.81
PS2,Fighting,2.8
X360,Action,2.8
DS,Platform,2.8
PS,Sports,2.79
PS3,Shooter,2.79
PS,Platform,2.79
PS2,Fighting,2.79
SNES,Role-Playing,2.79
PS,Fighting,2.79
PC,Shooter,2.79
PS2,Sports,2.79
DS,Puzzle,2.79
3DS,Role-Playing,2.79
PS2,Platform,2.78
PS4,Action,2.78
PS2,Platform,2.78
PS3,Fighting,2.78
PS2,Simulation,2.77
Wii,Platform,2.77
X360,Action,2.77
2600,Shooter,2.76
SNES,Misc,2.75
PS4,Action,2.74
N64,Strategy,2.73
NES,Action,2.73
X360,Adventure,2.72
X360,Shooter,2.71
GBA,Action,2.7
PS2,Action,2.7
PS4,Fighting,2.7
N64,Misc,2.7
X360,Sports,2.69
PS2,Action,2.69
X360,Sports,2.69
DS,Puzzle,2.69
X360,Sports,2.68
PS2,Racing,2.68
3DS,Role-Playing,2.68
PS3,Racing,2.68
PS3,Role-Playing,2.68
GEN,Fighting,2.67
PS2,Shooter,2.67
X360,Misc,2.67
PS,Shooter,2.67
XB,Role-Playing,2.66
DS,Action,2.65
PS2,Action,2.65
Wii,Action,2.65
PSP,Shooter,2.65
NES,Platform,2.65
N64,Action,2.65
X360,Action,2.64
PS2,Racing,2.63
PSP,Fighting,2.63
X360,Strategy,2.63
PS3,Action,2.63
PS2,Sports,2.62
Wii,Sports,2.62
X360,Shooter,2.62
X360,Sports,2.62
X360,Sports,2.62
DS,Simulation,2.61
PS2,Action,2.61
Wii,Platform,2.6
GEN,Action,2.6
PS3,Sports,2.59
PS3,Platform,2.59
PS2,Sports,2.59
PSP,Platform,2.58
PS4,Shooter,2.58
X360,Action,2.58
PSP,Role-Playing,2.58
PS2,Fighting,2.58
PS2,Platform,2.57
DS,Misc,2.57
X360,Role-Playing,2.57
PS2,Sports,2.57
GC,Platform,2.56
NES,Role-Playing,2.56
PS3,Sports,2.56
GC,Role-Playing,2.54
Wii,Sports,2.54
X360,Sports,2.54
2600,Shooter,2.53
PS2,Racing,2.52
N64,Action,2.52
Wii,Misc,2.52
NES,Role-Playing,2.52
PS3,Action,2.51
X360,Role-Playing,2.5
PS2,Sports,2.5
N64,Misc,2.5
PS3,Action,2.49
XB,Action,2.49
Wii,Action,2.49
PS2,Fighting,2.49
PS3,Shooter,2.48
X360,Racing,2.48
PS,Action,2.48
PS3,Sports,2.48
X360,Misc,2.48
X360,Sports,2.47
GC,Misc,2.47
Wii,Misc,2.46
PS3,Racing,2.45
SNES,Role-Playing,2.45
PS,Role-Playing,2.45
PS,Racing,2.44
X360,Shooter,2.44
PSP,Racing,2.44
PS2,Simulation,2.43
PC,Adventure,2.43
X360,Shooter,2.42
DC,Platform,2.42
NES,Sports,2.42
PS3,Sports,2.42
PS2,Fighting,2.41
PS2,Racing,2.41
PS,Action,2.41
XOne,Misc,2.41
PS2,Racing,2.41
XOne,Sports,2.4
PS,Puzzle,2.4
NES,Fighting,2.4
PC,Strategy,2.4
GBA,Adventure,2.39
PS4,Racing,2.39
X360,Sports,2.39
Wii,Action,2.39
PC,Misc,2.39
PS3,Action,2.39
X360,Action,2.39
PS2,Misc,2.38
PS3,Action,2.38
X360,Misc,2.38
N64,Fighting,2.38
PS4,Action,2.38
PS4,Sports,2.38
PS3,Sports,2.38
PS2,Misc,2.38
X360,Sports,2.37
PC,Shooter,2.37
PS2,Action,2.37
PS2,Sports,2.37
PS3,Sports,2.37
X360,Sports,2.36
GB,Platform,2.36
DS,Action,2.35
GB,Platform,2.35
GB,Role-Playing,2.35
X360,Racing,2.35
Wii,Platform,2.34
PS2,Fighting,2.34
Wii,Sports,2.34
PS2,Action,2.34
X360,Simulation,2.33
3DS,Action,2.32
XOne,Sports,2.32
Wii,Misc,2.32
N64,Sports,2.32
PS,Action,2.32
PS2,Shooter,2.31
DS,Puzzle,2.31
PS,Racing,2.31
SNES,Role-Playing,2.31
PS,Sports,2.31
X360,Action,2.3
PC,Action,2.3
DS,Role-Playing,2.3
PS3,Action,2.29
PC,Action,2.29
PS3,Action,2.29
XB,Racing,2.28
PS3,Sports,2.28
Wii,Misc,2.28
3DS,Action,2.28
NES,Platform,2.28
PS2,Sports,2.28
PS3,Action,2.28
PS3,Shooter,2.28
PS,Racing,2.28
3DS,Role-Playing,2.27
PS3,Misc,2.27
Wii,Misc,2.27
GBA,Platform,2.27
GBA,Platform,2.26
PS3,Misc,2.26
Wii,Shooter,2.26
Wii,Action,2.26
PSV,Misc,2.25
PS2,Adventure,2.25
PS,Sports,2.25
GC,Role-Playing,2.25
PS3,Sports,2.25
Wii,Role-Playing,2.25
PSP,Fighting,2.25
GBA,Platform,2.24
GBA,Platform,2.23
NES,Action,2.23
DS,Action,2.23
PS2,Simulation,2.23
WiiU,Platform,2.22
PS2,Action,2.22
DS,Puzzle,2.22
GB,Adventure,2.22
X360,Racing,2.22
X360,Shooter,2.21
XOne,Action,2.21
PS2,Action,2.21
X360,Misc,2.2
2600,Action,2.2
X360,Misc,2.2
GB,Platform,2.2
NES,Sports,2.2
Wii,Platform,2.2
DS,Puzzle,2.2
PS3,Action,2.19
X360,Action,2.19
XB,Role-Playing,2.19
GB,Misc,2.19
GB,Platform,2.19
PS3,Action,2.19
GB,Role-Playing,2.18
PS2,Racing,2.18
XOne,Racing,2.18
X360,Sports,2.18
DS,Role-Playing,2.18
GBA,Role-Playing,2.17
X360,Role-Playing,2.17
N64,Simulation,2.17
NES,Sports,2.17
PC,Simulation,2.16
Wii,Sports,2.16
PS,Shooter,2.15
PS4,Shooter,2.15
NES,Sports,2.15
XOne,Sports,2.15
PSP,Shooter,2.14
SNES,Role-Playing,2.14
NES,Misc,2.14
NES,Racing,2.14
PC,Simulation,2.14
2600,Shooter,2.13
PS2,Simulation,2.13
DS,Puzzle,2.13
GBA,Role-Playing,2.13
PS4,Action,2.13
DS,Action,2.12
DS,Role-Playing,2.12
Wii,Platform,2.12
XB,Racing,2.12
GB,Sports,2.12
PS3,Sports,2.11
PS3,Shooter,2.11
N64,Sports,2.11
PS3,Sports,2.11
PS2,Racing,2.11
Wii,Sports,2.11
Wii,Misc,2.11
PS2,Action,2.11
X360,Fighting,2.11
PS,Role-Playing,2.1
PS2,Platform,2.1
XB,Action,2.1
PSP,Racing,2.1
X360,Shooter,2.1
PS2,Action,2.09
PS,Sports,2.09
X360,Action,2.09
PS2,Action,2.09
X360,Action,2.09
Wii,Misc,2.09
DS,Simulation,2.09
PS4,Shooter,2.09
PSP,Action,2.09
PC,Role-Playing,2.08
PS2,Puzzle,2.08
PS3,Racing,2.08
Wii,Simulation,2.08
GC,Misc,2.08
PS3,Action,2.08
PC,Strategy,2.08
PC,Strategy,2.08
PS3,Sports,2.08
PS,Shooter,2.07
PSP,Role-Playing,2.07
X360,Fighting,2.07
PS3,Role-Playing,2.07
GBA,Strategy,2.07
X360,Racing,2.06
PS3,Simulation,2.06
X360,Action,2.06
GBA,Role-Playing,2.06
GBA,Action,2.06
PS,Racing,2.06
PS2,Fighting,2.06
3DS,Role-Playing,2.06
PS3,Racing,2.05
DS,Misc,2.05
PS3,Sports,2.05
DS,Role-Playing,2.05
GC,Misc,2.05
PS3,Role-Playing,2.05
GEN,Sports,2.05
X360,Racing,2.05
DS,Role-Playing,2.04
X360,Misc,2.04
Wii,Misc,2.04
PS2,Shooter,2.04
PS2,Action,2.04
GBA,Platform,2.04
PS3,Action,2.04
PS4,Sports,2.03
N64,Sports,2.03
X360,Misc,2.03
PS2,Sports,2.03
PS3,Action,2.02
X360,Shooter,2.02
X360,Sports,2.02
X360,Racing,2.02
DS,Puzzle,2.01
XOne,Shooter,2.01
PS3,Action,2.0
3DS,Role-Playing,2.0
PS4,Racing,2.0
SNES,Fighting,2.0
PS3,Fighting,2.0
PS,Action,1.99
GB,Sports,1.99
GBA,Action,1.99
PS,Action,1.98
SNES,Simulation,1.98
XOne,Shooter,1.98
X360,Shooter,1.98
PS4,Role-Playing,1.97
DS,Platform,1.97
PS2,Platform,1.97
Wii,Shooter,1.97
PS2,Action,1.97
PS3,Racing,1.97
2600,Action,1.97
X360,Shooter,1.96
PSP,Sports,1.96
NES,Racing,1.96
NES,Sports,1.96
DS,Platform,1.96
X360,Shooter,1.96
X360,Shooter,1.95
PS2,Racing,1.95
XB,Action,1.95
PC,Shooter,1.95
PS2,Sports,1.95
PS2,Fighting,1.94
X360,Sports,1.94
PC,Misc,1.94
PS,Adventure,1.94
GB,Puzzle,1.94
PS2,Fighting,1.94
PS,Racing,1.94
PS2,Shooter,1.94
PS2,Role-Playing,1.93
X360,Action,1.93
PS3,Misc,1.93
SNES,Fighting,1.93
SAT,Fighting,1.93
GB,Puzzle,1.93
X360,Fighting,1.93
PS3,Action,1.93
Wii,Sports,1.93
X360,Action,1.92
GB,Action,1.92
X360,Racing,1.92
Wii,Misc,1.92
PS2,Shooter,1.92
PC,Simulation,1.92
PS2,Racing,1.92
PS,Misc,1.92
Wii,Misc,1.92
N64,Misc,1.91
Wii,Action,1.91
Wii,Misc,1.91
PS4,Shooter,1.91
Wii,Action,1.91
GC,Simulation,1.9
PS3,Shooter,1.9
PS4,Racing,1.89
PS3,Sports,1.89
3DS,Role-Playing,1.89
PS3,Platform,1.88
PS,Role-Playing,1.88
PS2,Fighting,1.88
PS,Sports,1.88
PS2,Shooter,1.88
PS,Fighting,1.88
PS2,Misc,1.87
GC,Adventure,1.87
PS,Sports,1.87
PS2,Action,1.87
3DS,Platform,1.87
GB,Adventure,1.86
XB,Sports,1.86
PS2,Platform,1.86
PS,Role-Playing,1.86
N64,Platform,1.86
PS2,Misc,1.86
PS4,Platform,1.86
PS2,Sports,1.86
DS,Action,1.86
PS,Role-Playing,1.86
Wii,Action,1.86
3DS,Misc,1.85
PS2,Platform,1.85
Wii,Misc,1.85
GBA,Role-Playing,1.85
NES,Action,1.85
PS3,Action,1.85
PS2,Racing,1.84
PS3,Role-Playing,1.84
PS2,Sports,1.84
N64,Simulation,1.83
GBA,Misc,1.83
PC,Role-Playing,1.83
PS,Racing,1.83
PS4,Action,1.83
SNES,Role-Playing,1.83
X360,Shooter,1.83
PS,Simulation,1.83
3DS,Platform,1.82
GEN,Platform,1.82
PS2,Misc,1.82
PC,Simulation,1.82
Wii,Shooter,1.82
DS,Role-Playing,1.81
PS4,Action,1.81
PS2,Simulation,1.81
DC,Racing,1.81
PS2,Fighting,1.81
PS2,Platform,1.81
PS2,Misc,1.8
GBA,Platform,1.8
X360,Sports,1.8
PS3,Action,1.8
PS,Sports,1.8
PS3,Shooter,1.79
SNES,Platform,1.79
PS3,Adventure,1.79
X360,Action,1.78
PS2,Racing,1.78
DS,Role-Playing,1.78
PS,Action,1.78
PS2,Action,1.78
3DS,Puzzle,1.78
PS3,Action,1.78
PS3,Role-Playing,1.78
WiiU,Action,1.77
PS2,Action,1.77
Wii,Misc,1.77
WiiU,Misc,1.77
PS3,Sports,1.77
SNES,Role-Playing,1.77
N64,Platform,1.77
XB,Fighting,1.77
PS3,Fighting,1.77
GB,Adventure,1.76
PS,Fighting,1.76
PS2,Platform,1.76
GBA,Role-Playing,1.76
GEN,Platform,1.76
NES,Platform,1.76
PS2,Fighting,1.76
XB,Shooter,1.76
PS2,Action,1.76
PS3,Shooter,1.76
X360,Action,1.76
GBA,Action,1.76
X360,Shooter,1.76
PS2,Simulation,1.76
PS3,Sports,1.76
PS2,Simulation,1.76
PS,Sports,1.75
PS3,Role-Playing,1.75
XB,Shooter,1.75
PS2,Sports,1.75
X360,Shooter,1.75
NES,Puzzle,1.75
SNES,Platform,1.75
NES,Platform,1.75
DS,Simulation,1.75
PS2,Simulation,1.75
GBA,Misc,1.75
PS,Adventure,1.74
PS2,Role-Playing,1.74
PS3,Shooter,1.74
Wii,Misc,1.74
XOne,Racing,1.74
Wii,Platform,1.74
N64,Racing,1.74
PS,Sports,1.74
PS4,Role-Playing,1.74
PSV,Shooter,1.74
PS3,Shooter,1.73
PS2,Sports,1.73
PS4,Shooter,1.73
PS,Action,1.73
GB,Action,1.73
Wii,Action,1.73
GBA,Platform,1.73
X360,Action,1.73
PS2,Action,1.72
PS4,Shooter,1.72
PS4,Role-Playing,1.72
PS2,Shooter,1.72
DS,Simulation,1.72
PC,Shooter,1.72
XB,Sports,1.72
PS2,Role-Playing,1.72
PC,Simulation,1.71
Wii,Puzzle,1.71
PS,Platform,1.71
DS,Misc,1.71
PS2,Simulation,1.71
XB,Racing,1.71
DS,Misc,1.71
GBA,Puzzle,1.71
Wii,Sports,1.7
PS4,Racing,1.7
PS2,Sports,1.7
Wii,Sports,1.7
DS,Puzzle,1.7
Wii,Platform,1.7
SNES,Puzzle,1.7
DS,Action,1.7
PS2,Sports,1.7
PS2,Shooter,1.69
XOne,Sports,1.69
PS3,Action,1.69
X360,Action,1.69
PS,Misc,1.69
PS3,Role-Playing,1.69
X360,Sports,1.69
N64,Fighting,1.69
PS,Fighting,1.69
GBA,Action,1.69
X360,Racing,1.69
GBA,Role-Playing,1.69
PC,Strategy,1.69
GC,Action,1.69
PSV,Action,1.69
PSP,Shooter,1.68
PS2,Misc,1.68
PS,Sports,1.68
X360,Action,1.68
GB,Puzzle,1.68
PS,Shooter,1.68
PC,Simulation,1.68
Wii,Action,1.68
Wii,Simulation,1.68
GBA,Action,1.68
Wii,Sports,1.67
PS2,Sports,1.67
Wii,Sports,1.67
PS,Sports,1.67
PS3,Fighting,1.67
PS4,Platform,1.67
XB,Shooter,1.67
NES,Platform,1.67
PS,Sports,1.67
GBA,Adventure,1.67
PC,Strategy,1.67
XB,Racing,1.67
PS2,Racing,1.67
PS2,Sports,1.67
PS2,Platform,1.67
PS4,Action,1.66
PS3,Action,1.66
GEN,Fighting,1.66
PS2,Sports,1.66
X360,Shooter,1.66
PS2,Sports,1.66
X360,Racing,1.66
PS2,Sports,1.66
PS2,Fighting,1.66
2600,Puzzle,1.65
GC,Misc,1.65
SNES,Shooter,1.65
Wii,Misc,1.65
PS2,Role-Playing,1.65
X360,Shooter,1.65
DS,Role-Playing,1.64
GBA,Platform,1.64
Wii,Action,1.64
2600,Puzzle,1.64
PS,Shooter,1.64
NES,Action,1.64
PS2,Sports,1.64
PS2,Sports,1.64
PS2,Action,1.64
X360,Simulation,1.64
PS4,Adventure,1.64
XB,Sports,1.63
X360,Simulation,1.63
GC,Strategy,1.63
PC,Shooter,1.63
PS3,Platform,1.63
PS2,Sports,1.63
PS,Platform,1.63
X360,Sports,1.63
PS2,Sports,1.62
X360,Action,1.62
PS3,Misc,1.62
PS2,Sports,1.62
X360,Shooter,1.62
DS,Sports,1.62
GC,Racing,1.62
PS,Racing,1.62
Wii,Role-Playing,1.61
PS2,Sports,1.61
X360,Shooter,1.61
GB,Sports,1.61
GB,Strategy,1.61
GC,Sports,1.61
PS2,Misc,1.61
DS,Action,1.61
XOne,Shooter,1.61
Wii,Simulation,1.6
DS,Misc,1.6
PS2,Action,1.6
X360,Action,1.6
N64,Racing,1.6
2600,Shooter,1.6
PS,Action,1.6
DS,Role-Playing,1.6
PS4,Action,1.6
GC,Platform,1.6
PS2,Sports,1.59
PC,Role-Playing,1.59
GC,Action,1.59
PS,Fighting,1.59
PS3,Action,1.59
2600,Platform,1.59
PS3,Sports,1.59
