Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Fighting,3.24,1.35,2.42,0.43,7.45
Shooter,4.79,1.9,0.0,0.69,7.37
Shooter,4.46,2.13,0.06,0.69,7.34
Action,3.83,2.19,0.6,0.7,7.31
Shooter,4.52,2.09,0.01,0.67,7.3
Misc,3.51,3.03,0.0,0.73,7.27
Shooter,2.85,2.93,0.35,1.1,7.23
Racing,3.27,2.83,0.08,1.02,7.2
Fighting,3.27,2.22,1.4,0.29,7.16
Platform,3.68,1.75,1.42,0.28,7.13
Fighting,4.41,1.04,1.39,0.22,7.07
Racing,3.13,2.07,1.27,0.49,6.96
Role-Playing,2.47,3.15,0.24,1.1,6.96
Racing,4.12,1.77,0.87,0.19,6.95
Misc,4.14,2.21,0.0,0.56,6.91
Sports,0.78,4.32,0.07,1.73,6.9
Racing,2.71,3.02,0.08,1.09,6.9
Shooter,2.93,2.75,0.17,0.99,6.83
Action,2.77,2.8,0.19,1.06,6.83
Platform,3.23,2.35,0.94,0.3,6.82
Sports,3.5,2.64,0.0,0.67,6.81
Shooter,4.15,1.92,0.06,0.64,6.76
Action,3.27,2.25,0.21,1.0,6.73
Shooter,3.1,2.3,0.28,1.04,6.72
Sports,0.84,4.32,0.11,1.42,6.69
Misc,1.67,2.78,1.6,0.62,6.67
Action,2.79,2.61,0.17,1.03,6.6
Sports,0.79,4.29,0.05,1.47,6.59
Platform,3.25,1.84,1.03,0.47,6.59
Role-Playing,2.55,2.71,0.25,1.05,6.56
Action,3.74,0.93,1.69,0.14,6.51
Action,2.64,2.56,0.16,1.14,6.5
Shooter,4.98,1.3,0.08,0.07,6.43
Role-Playing,2.57,1.58,2.06,0.21,6.41
Role-Playing,3.64,1.2,1.49,0.07,6.4
Role-Playing,2.55,1.56,1.29,0.99,6.39
Shooter,4.34,1.35,0.06,0.61,6.36
Action,3.7,1.97,0.09,0.57,6.34
Platform,4.01,1.26,0.87,0.17,6.31
Fighting,2.47,0.83,2.87,0.12,6.3
Role-Playing,0.07,6.21,0.0,0.0,6.28
Action,3.11,2.8,0.02,0.33,6.27
Sports,3.92,1.78,0.03,0.51,6.24
Shooter,4.05,1.62,0.07,0.49,6.24
Shooter,3.54,1.9,0.07,0.6,6.11
Action,2.45,2.01,0.87,0.72,6.05
Platform,4.47,1.2,0.16,0.19,6.03
Action,2.63,1.74,0.83,0.83,6.03
Action,3.18,1.83,0.78,0.24,6.03
Action,2.41,2.28,0.28,1.01,5.99
Role-Playing,1.88,0.0,2.33,1.74,5.95
Platform,2.8,2.05,0.17,0.9,5.92
Role-Playing,0.66,0.69,4.35,0.15,5.84
Action,3.66,1.63,0.0,0.53,5.83
Action,1.88,1.47,2.02,0.45,5.82
Fighting,2.26,1.89,1.36,0.23,5.74
Simulation,3.13,1.94,0.07,0.58,5.72
Shooter,2.49,2.05,0.16,0.96,5.65
Puzzle,2.97,0.69,1.81,0.11,5.58
Action,2.54,1.95,0.21,0.87,5.57
Fighting,2.95,0.6,1.97,0.04,5.55
Adventure,3.28,1.65,0.07,0.55,5.55
Action,2.7,1.91,0.11,0.8,5.53
Racing,2.99,1.92,0.1,0.51,5.51
Role-Playing,0.47,0.57,4.13,0.34,5.5
Platform,3.14,1.24,0.91,0.2,5.49
Racing,2.62,1.64,0.99,0.23,5.47
Platform,3.21,1.11,0.95,0.2,5.46
Strategy,3.18,1.24,0.94,0.09,5.45
Shooter,2.72,1.87,0.0,0.84,5.43
Platform,2.07,2.29,0.24,0.82,5.42
Misc,1.97,2.51,0.0,0.94,5.42
Role-Playing,1.74,1.24,1.87,0.52,5.36
Puzzle,2.18,0.96,2.0,0.2,5.34
Misc,3.02,1.12,1.01,0.16,5.31
Action,3.13,1.71,0.03,0.44,5.3
Role-Playing,1.62,0.77,2.78,0.14,5.3
Role-Playing,1.92,1.08,2.11,0.17,5.29
Platform,3.33,0.79,1.09,0.06,5.27
Action,3.1,1.56,0.08,0.51,5.27
Puzzle,1.22,2.48,1.03,0.52,5.26
Action,2.3,2.46,0.2,0.28,5.24
Sports,4.26,0.26,0.01,0.71,5.23
Role-Playing,0.65,0.75,3.61,0.2,5.21
Role-Playing,2.43,2.15,0.0,0.62,5.2
Platform,2.93,1.25,0.83,0.2,5.2
Platform,2.32,1.3,1.27,0.31,5.19
Platform,2.49,0.98,1.57,0.15,5.19
Action,1.08,3.48,0.03,0.58,5.18
Action,1.9,1.83,0.95,0.49,5.17
Platform,2.1,0.74,2.2,0.11,5.15
Simulation,0.96,2.02,1.89,0.28,5.15
Sports,1.64,2.48,0.44,0.58,5.14
Shooter,1.98,2.23,0.13,0.8,5.13
Platform,2.71,0.61,1.7,0.11,5.13
Role-Playing,3.59,1.11,0.05,0.38,5.13
Shooter,3.21,1.53,0.01,0.38,5.13
Simulation,3.22,1.69,0.0,0.2,5.12
Misc,3.81,0.63,0.0,0.68,5.12
Action,1.96,1.43,1.08,0.65,5.11
Action,2.66,2.01,0.0,0.41,5.08
Action,1.7,2.02,0.16,1.21,5.08
Sports,0.6,3.29,0.06,1.13,5.08
Platform,3.4,1.3,0.15,0.22,5.07
Action,2.05,1.16,1.11,0.73,5.05
Sports,3.42,1.38,0.02,0.2,5.02
Fighting,2.59,1.06,0.8,0.57,5.02
Strategy,2.79,1.89,0.0,0.33,5.01
Platform,3.36,1.36,0.07,0.21,5.0
Shooter,3.06,1.18,0.29,0.46,5.0
Misc,3.49,0.01,0.01,1.48,4.98
Role-Playing,3.39,1.03,0.09,0.44,4.96
Role-Playing,1.85,1.2,1.54,0.37,4.96
Action,2.31,1.73,0.12,0.78,4.94
Sports,3.98,0.26,0.01,0.66,4.91
Action,2.89,1.54,0.0,0.46,4.9
Racing,2.91,0.99,0.89,0.1,4.88
Role-Playing,0.0,0.0,4.87,0.0,4.87
Puzzle,2.62,0.6,1.52,0.1,4.85
Action,2.74,1.36,0.12,0.63,4.84
Strategy,2.56,1.68,0.0,0.59,4.83
Adventure,1.91,2.0,0.09,0.83,4.83
Sports,0.57,3.14,0.04,1.07,4.82
Racing,2.57,1.57,0.44,0.21,4.79
Sports,0.28,3.75,0.06,0.69,4.77
Action,2.99,1.31,0.04,0.41,4.76
Action,2.36,2.1,0.02,0.25,4.73
Racing,1.73,2.19,0.0,0.79,4.7
Sports,3.05,1.41,0.02,0.2,4.68
Simulation,1.87,1.12,1.32,0.37,4.68
Action,1.94,1.95,0.08,0.7,4.67
Racing,2.08,2.04,0.06,0.47,4.64
Action,2.29,1.97,0.13,0.24,4.63
Misc,3.06,1.12,0.0,0.44,4.62
Action,2.42,0.91,1.15,0.13,4.61
Action,2.6,0.99,0.89,0.13,4.6
Sports,1.89,1.99,0.22,0.48,4.58
Action,1.78,1.39,1.1,0.3,4.58
Shooter,1.55,1.15,1.44,0.43,4.57
Action,1.78,1.87,0.07,0.82,4.55
Misc,3.19,0.92,0.01,0.42,4.53
Sports,4.18,0.26,0.01,0.08,4.53
Platform,4.21,0.24,0.0,0.05,4.5
Sports,3.63,0.24,0.01,0.61,4.49
Action,2.71,1.51,0.03,0.23,4.48
Role-Playing,0.2,0.14,4.1,0.02,4.47
Action,1.96,1.69,0.08,0.74,4.47
Shooter,1.54,1.94,0.19,0.77,4.45
Action,2.71,1.29,0.02,0.43,4.45
Misc,2.55,1.11,0.46,0.33,4.44
Misc,2.67,1.35,0.01,0.39,4.42
Sports,2.66,1.29,0.01,0.46,4.41
Sports,0.1,2.39,1.05,0.86,4.39
Role-Playing,2.82,1.05,0.13,0.4,4.39
Adventure,2.19,0.5,1.61,0.08,4.38
Racing,2.03,1.79,0.08,0.47,4.37
Shooter,1.73,1.73,0.14,0.75,4.35
Platform,3.03,0.91,0.26,0.13,4.34
Role-Playing,2.2,0.58,1.38,0.17,4.33
Sports,0.92,2.93,0.01,0.46,4.31
Shooter,2.75,1.18,0.0,0.37,4.31
Shooter,4.0,0.26,0.0,0.05,4.31
Role-Playing,2.51,1.27,0.11,0.41,4.31
Shooter,2.64,1.2,0.03,0.39,4.26
Platform,2.11,1.11,0.72,0.3,4.25
Action,2.23,1.34,0.07,0.61,4.25
Action,1.41,2.02,0.1,0.72,4.24
Misc,3.0,1.11,0.05,0.07,4.24
Action,1.46,0.0,0.83,1.93,4.23
Platform,2.45,1.02,0.0,0.75,4.22
Strategy,1.7,2.27,0.0,0.23,4.21
Action,2.03,1.27,0.62,0.3,4.21
Sports,0.78,2.55,0.04,0.84,4.21
Misc,0.88,2.3,0.2,0.83,4.2
Shooter,1.3,2.07,0.18,0.65,4.2
Racing,1.28,1.83,0.57,0.53,4.2
Action,2.25,1.47,0.04,0.43,4.19
Fighting,2.02,1.06,0.58,0.53,4.19
Sports,0.84,2.79,0.02,0.53,4.19
Action,3.38,0.44,0.31,0.04,4.17
Racing,2.04,0.48,1.57,0.07,4.16
Action,3.79,0.27,0.0,0.11,4.16
Sports,3.36,0.21,0.01,0.56,4.14
Action,1.4,1.86,0.11,0.77,4.14
Shooter,4.03,0.0,0.09,0.0,4.12
Platform,1.65,0.61,1.76,0.09,4.12
Sports,0.71,2.48,0.03,0.89,4.11
Action,2.14,1.2,0.37,0.4,4.1
Fighting,1.42,0.51,2.1,0.07,4.1
Misc,2.13,1.5,0.05,0.42,4.1
Role-Playing,2.45,1.26,0.01,0.37,4.09
Role-Playing,2.57,1.52,0.0,0.0,4.09
Role-Playing,2.65,1.06,0.04,0.33,4.08
Action,2.32,0.04,0.04,1.67,4.07
Racing,2.35,1.28,0.03,0.41,4.06
Sports,0.12,2.26,0.9,0.77,4.06
Misc,2.28,1.55,0.16,0.06,4.05
Fighting,1.68,1.51,0.51,0.35,4.05
Shooter,1.12,2.12,0.1,0.69,4.03
Shooter,2.78,0.58,0.64,0.04,4.03
Misc,1.38,1.87,0.12,0.65,4.02
Sports,1.22,0.28,2.46,0.04,4.01
Role-Playing,2.15,1.2,0.07,0.59,4.01
Puzzle,0.92,1.78,0.92,0.37,4.0
Shooter,2.67,0.89,0.05,0.37,3.99
Misc,2.08,1.35,0.0,0.54,3.98
Sports,2.1,1.36,0.06,0.4,3.92
Action,1.18,1.96,0.08,0.7,3.92
Platform,1.97,0.76,1.07,0.11,3.91
Sports,2.29,1.17,0.01,0.42,3.9
Action,1.33,1.71,0.13,0.73,3.89
Role-Playing,0.67,0.49,2.62,0.11,3.89
Racing,1.53,1.61,0.06,0.67,3.88
Role-Playing,1.15,2.09,0.0,0.64,3.88
Fighting,0.93,1.94,0.31,0.7,3.87
Role-Playing,0.1,0.0,3.77,0.0,3.87
Sports,2.12,1.14,0.1,0.51,3.87
Sports,2.48,0.65,0.03,0.69,3.85
Sports,0.16,1.89,1.12,0.68,3.85
Misc,0.87,1.57,1.05,0.35,3.84
Misc,2.12,1.44,0.22,0.06,3.84
Action,2.21,0.96,0.54,0.13,3.83
Role-Playing,2.26,0.48,0.81,0.27,3.83
Misc,1.06,1.93,0.41,0.43,3.82
Simulation,1.44,1.37,0.73,0.27,3.81
Action,1.49,1.58,0.1,0.61,3.79
Sports,1.14,1.91,0.27,0.46,3.78
Action,2.4,1.03,0.0,0.36,3.78
Action,1.82,1.24,0.47,0.25,3.77
Platform,1.4,1.4,0.1,0.87,3.77
Misc,1.98,1.47,0.0,0.32,3.76
Simulation,2.03,1.56,0.0,0.17,3.76
Platform,1.98,0.88,0.59,0.32,3.76
Action,1.37,2.0,0.14,0.22,3.73
Role-Playing,0.96,2.0,0.21,0.56,3.73
Action,1.3,0.77,1.54,0.11,3.72
Platform,1.93,1.58,0.0,0.19,3.71
Sports,0.58,2.48,0.04,0.59,3.7
Strategy,1.49,0.73,1.38,0.1,3.7
Shooter,1.3,1.51,0.27,0.61,3.69
Simulation,1.59,1.61,0.08,0.41,3.69
Misc,0.0,0.0,3.67,0.0,3.67
Sports,2.13,1.18,0.01,0.35,3.67
Racing,1.65,1.22,0.0,0.79,3.66
Platform,1.87,1.13,0.55,0.1,3.65
Shooter,2.53,0.81,0.06,0.24,3.65
Misc,2.33,0.97,0.0,0.35,3.65
Racing,0.71,1.8,0.4,0.74,3.64
Platform,2.08,1.09,0.15,0.33,3.64
Simulation,2.23,0.68,0.66,0.06,3.63
Sports,0.6,2.46,0.05,0.52,3.63
Sports,0.05,0.0,0.64,2.93,3.63
Shooter,1.78,1.42,0.05,0.38,3.63
Action,2.08,0.83,0.46,0.25,3.62
Shooter,1.28,1.61,0.15,0.57,3.61
Shooter,1.93,1.22,0.03,0.44,3.61
Shooter,2.05,1.4,0.0,0.16,3.61
Racing,2.02,1.17,0.0,0.42,3.61
Simulation,1.61,1.5,0.1,0.39,3.61
Action,2.38,0.67,0.46,0.1,3.6
Shooter,2.18,1.02,0.03,0.37,3.59
Fighting,2.01,1.35,0.06,0.16,3.58
Platform,1.57,1.79,0.0,0.2,3.56
Action,1.56,1.4,0.07,0.5,3.54
Action,1.23,1.77,0.05,0.49,3.54
Action,1.66,1.58,0.12,0.18,3.54
Shooter,1.9,1.13,0.1,0.41,3.53
Action,1.98,1.14,0.01,0.41,3.53
Shooter,2.14,1.08,0.02,0.29,3.53
Sports,0.71,2.4,0.02,0.4,3.53
Action,1.96,1.33,0.0,0.23,3.52
Platform,2.14,1.21,0.01,0.17,3.52
Shooter,2.66,0.5,0.05,0.3,3.52
Sports,1.22,1.66,0.27,0.38,3.52
Action,2.11,0.94,0.12,0.34,3.51
Platform,1.17,0.5,1.75,0.08,3.51
Action,2.84,0.39,0.03,0.24,3.5
Action,1.64,0.38,1.42,0.06,3.5
Action,2.2,0.97,0.02,0.31,3.5
Misc,0.59,1.83,0.73,0.35,3.5
Sports,0.59,2.36,0.04,0.51,3.49
Shooter,1.94,1.22,0.02,0.31,3.49
Shooter,2.09,1.02,0.04,0.32,3.48
Misc,2.11,1.01,0.01,0.35,3.48
Action,2.26,0.89,0.0,0.3,3.46
Shooter,0.88,1.75,0.1,0.72,3.45
Role-Playing,0.0,0.0,3.44,0.0,3.44
Shooter,2.39,0.73,0.03,0.29,3.44
Fighting,1.55,1.27,0.33,0.29,3.44
Shooter,1.34,1.54,0.17,0.38,3.43
Platform,1.82,1.07,0.06,0.47,3.42
Action,1.13,2.07,0.0,0.22,3.42
Role-Playing,0.86,0.0,2.55,0.02,3.42
Action,1.75,1.2,0.02,0.43,3.41
Racing,1.73,0.69,0.59,0.4,3.41
Sports,0.46,2.28,0.05,0.61,3.4
Misc,1.56,1.47,0.19,0.17,3.39
Action,2.03,1.03,0.0,0.32,3.38
Action,1.08,1.35,0.48,0.47,3.38
Action,1.43,0.94,0.74,0.27,3.38
Fighting,2.47,0.76,0.0,0.13,3.36
Action,1.9,0.67,0.73,0.06,3.36
Puzzle,0.65,1.61,0.82,0.28,3.36
Adventure,1.63,1.53,0.0,0.18,3.34
Action,1.9,1.14,0.01,0.29,3.34
Misc,0.0,0.99,2.32,0.02,3.33
Shooter,1.45,1.29,0.12,0.46,3.33
Platform,1.44,1.01,0.57,0.3,3.33
Misc,1.15,1.17,0.76,0.24,3.32
Action,1.47,1.39,0.03,0.43,3.32
Shooter,1.99,1.05,0.05,0.22,3.31
Action,1.5,1.28,0.05,0.46,3.28
Action,0.8,1.92,0.06,0.5,3.28
Shooter,2.13,0.92,0.0,0.23,3.28
Action,1.89,1.05,0.02,0.31,3.27
Misc,1.36,1.13,0.46,0.32,3.27
Racing,0.5,1.59,0.31,0.87,3.27
Action,0.25,0.19,2.78,0.04,3.26
Fighting,0.95,1.3,0.77,0.22,3.24
Sports,0.88,2.11,0.0,0.23,3.23
Adventure,1.27,1.33,0.12,0.51,3.23
Sports,2.33,0.3,0.0,0.59,3.22
Role-Playing,0.03,0.0,3.18,0.0,3.22
Shooter,1.72,1.33,0.0,0.16,3.21
Sports,0.73,0.1,2.35,0.02,3.2
Fighting,2.26,0.72,0.12,0.1,3.2
Fighting,1.76,1.21,0.07,0.16,3.2
Role-Playing,1.35,0.6,0.8,0.44,3.19
Action,1.48,1.01,0.04,0.66,3.19
Role-Playing,0.0,0.0,3.19,0.0,3.19
Misc,2.15,0.77,0.01,0.26,3.19
Action,1.78,1.12,0.09,0.19,3.18
Platform,1.18,0.87,0.93,0.2,3.18
Role-Playing,1.52,1.08,0.1,0.47,3.17
Action,1.86,1.02,0.0,0.29,3.17
Misc,0.58,0.51,1.93,0.14,3.17
Simulation,2.06,0.56,0.38,0.17,3.17
Adventure,1.88,0.98,0.0,0.3,3.16
Simulation,1.92,0.16,0.99,0.09,3.15
Action,1.79,1.06,0.0,0.29,3.15
Platform,1.22,1.57,0.06,0.29,3.15
Shooter,0.88,0.97,0.88,0.42,3.15
Shooter,1.89,0.99,0.03,0.24,3.15
Sports,0.68,0.0,0.0,2.46,3.14
Action,1.7,1.25,0.02,0.16,3.13
Racing,2.14,0.86,0.0,0.13,3.12
Racing,2.31,0.62,0.14,0.04,3.12
Misc,0.91,1.0,1.03,0.17,3.12
Role-Playing,1.69,0.87,0.14,0.42,3.12
Role-Playing,0.08,0.0,3.03,0.01,3.12
Adventure,1.29,1.27,0.06,0.5,3.12
Role-Playing,1.99,0.82,0.03,0.27,3.11
Sports,0.78,2.02,0.0,0.3,3.11
Fighting,2.17,0.28,0.55,0.08,3.09
Sports,2.5,0.16,0.01,0.42,3.08
Sports,1.92,0.45,0.64,0.07,3.08
Shooter,1.89,0.91,0.04,0.24,3.07
Action,1.4,0.99,0.46,0.22,3.07
Platform,1.57,0.62,0.55,0.34,3.07
Simulation,1.72,1.21,0.0,0.14,3.07
Role-Playing,1.94,0.86,0.03,0.24,3.07
Action,1.91,0.84,0.0,0.29,3.05
Shooter,1.38,1.35,0.02,0.28,3.04
Platform,2.06,0.64,0.12,0.22,3.04
Action,1.94,0.8,0.02,0.27,3.03
Platform,1.54,1.33,0.0,0.16,3.03
Shooter,1.4,1.07,0.08,0.47,3.02
Action,1.85,1.04,0.0,0.13,3.02
Fighting,2.03,0.47,0.45,0.07,3.02
Sports,1.45,1.13,0.07,0.38,3.02
Shooter,2.38,0.32,0.0,0.31,3.0
Sports,2.6,0.21,0.01,0.19,3.0
Fighting,1.15,0.0,0.76,1.09,3.0
Fighting,1.57,1.02,0.0,0.41,3.0
Action,1.01,1.41,0.05,0.53,2.99
Shooter,1.61,0.51,0.8,0.07,2.99
Misc,1.67,1.18,0.0,0.13,2.99
Sports,0.12,1.26,1.16,0.45,2.99
Action,1.36,0.86,0.64,0.13,2.99
Simulation,0.47,1.0,1.39,0.12,2.98
Shooter,1.33,1.12,0.08,0.45,2.97
Simulation,0.96,1.72,0.0,0.29,2.97
Role-Playing,1.58,1.01,0.0,0.38,2.97
Platform,1.04,1.37,0.06,0.49,2.96
Platform,1.57,0.04,1.19,0.15,2.96
Action,1.36,1.15,0.04,0.41,2.96
Fighting,1.82,0.71,0.15,0.26,2.95
Racing,1.98,0.58,0.34,0.04,2.94
Shooter,2.22,0.51,0.06,0.15,2.94
Fighting,1.45,1.11,0.04,0.33,2.94
Action,1.76,0.69,0.12,0.37,2.94
Puzzle,2.07,0.77,0.05,0.05,2.94
Role-Playing,1.83,0.8,0.03,0.27,2.93
Puzzle,0.87,1.06,0.73,0.26,2.92
Simulation,1.43,1.13,0.05,0.3,2.91
Platform,1.75,0.45,0.62,0.09,2.91
Sports,0.61,1.85,0.11,0.33,2.9
Shooter,1.84,0.8,0.04,0.22,2.9
Misc,1.54,1.14,0.0,0.22,2.9
Sports,1.75,0.86,0.0,0.28,2.9
Sports,0.08,1.24,1.13,0.45,2.9
Racing,0.71,1.51,0.06,0.61,2.89
Sports,0.99,0.32,1.38,0.2,2.89
Shooter,1.51,1.12,0.01,0.24,2.89
Sports,1.54,1.07,0.0,0.28,2.88
Shooter,2.03,0.72,0.02,0.11,2.88
Simulation,1.3,1.27,0.0,0.31,2.88
Racing,0.09,2.43,0.12,0.22,2.87
Shooter,1.87,0.77,0.0,0.22,2.86
Sports,2.53,0.16,0.0,0.17,2.86
Role-Playing,2.09,0.63,0.03,0.11,2.86
Fighting,1.98,0.55,0.0,0.32,2.85
Racing,1.37,0.51,0.89,0.07,2.85
Platform,1.29,0.53,0.98,0.05,2.85
Strategy,1.37,1.34,0.0,0.14,2.85
Action,1.4,1.14,0.0,0.31,2.85
Sports,0.4,1.98,0.05,0.42,2.85
Action,1.87,0.57,0.11,0.3,2.84
Shooter,1.65,0.86,0.05,0.28,2.83
Sports,2.52,0.09,0.0,0.22,2.83
Shooter,1.28,1.05,0.07,0.43,2.83
Fighting,1.32,1.08,0.04,0.39,2.83
Shooter,1.96,0.67,0.1,0.09,2.82
Action,1.59,1.05,0.04,0.14,2.82
Adventure,0.02,2.79,0.0,0.0,2.81
Racing,1.05,1.25,0.03,0.48,2.81
Simulation,1.32,1.19,0.0,0.3,2.81
Fighting,1.32,1.06,0.04,0.38,2.8
Action,1.74,0.8,0.0,0.26,2.8
Platform,1.47,0.07,1.1,0.15,2.8
Sports,0.29,0.2,2.13,0.18,2.79
Shooter,1.45,0.88,0.09,0.38,2.79
Platform,1.96,0.72,0.0,0.11,2.79
Fighting,1.19,1.15,0.04,0.41,2.79
Role-Playing,0.0,0.0,2.78,0.01,2.79
Fighting,1.98,0.7,0.0,0.11,2.79
Shooter,0.89,1.43,0.0,0.48,2.79
Sports,2.19,0.22,0.0,0.38,2.79
Puzzle,0.3,1.47,0.68,0.34,2.79
Role-Playing,0.46,0.29,1.96,0.07,2.79
Platform,1.68,0.74,0.0,0.36,2.78
Action,1.27,0.97,0.07,0.47,2.78
Platform,1.44,0.83,0.26,0.25,2.78
Fighting,1.2,0.98,0.17,0.43,2.78
Simulation,1.41,1.12,0.0,0.24,2.77
Platform,1.24,1.2,0.04,0.3,2.77
Action,1.25,1.15,0.07,0.3,2.77
Shooter,2.56,0.17,0.0,0.03,2.76
Misc,1.43,0.54,0.71,0.07,2.75
Action,1.07,1.31,0.06,0.31,2.74
Strategy,1.02,0.36,1.13,0.23,2.73
Action,1.33,0.31,1.04,0.05,2.73
Adventure,1.52,0.94,0.02,0.24,2.72
Shooter,1.49,0.93,0.02,0.27,2.71
Action,1.75,0.52,0.33,0.1,2.7
Action,0.99,0.48,1.09,0.14,2.7
Fighting,1.47,0.76,0.0,0.47,2.7
Misc,1.25,0.53,0.87,0.05,2.7
Sports,2.42,0.11,0.0,0.16,2.69
Action,1.85,0.64,0.01,0.19,2.69
Sports,2.38,0.12,0.0,0.18,2.69
Puzzle,1.63,0.52,0.35,0.18,2.69
Sports,1.46,0.98,0.0,0.24,2.68
Racing,1.23,1.11,0.0,0.34,2.68
Role-Playing,0.0,0.0,2.68,0.0,2.68
Racing,0.69,1.41,0.04,0.53,2.68
Role-Playing,0.78,0.75,0.89,0.26,2.68
Fighting,1.95,0.63,0.0,0.09,2.67
Shooter,1.48,0.92,0.01,0.26,2.67
Misc,1.78,0.64,0.0,0.25,2.67
Shooter,1.44,1.09,0.0,0.14,2.67
Role-Playing,1.99,0.58,0.0,0.09,2.66
